,Reciept ID,Product,Quantity Ordered,Price Each,Date
0,11000,Dalgona Coffee (Chocolate - Hot),1,3.0,01/15/19 10:53
1,11001,Macaroon (Chocolate),1,2.75,01/08/19 08:56
2,11002,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/07/19 10:42
3,11003,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/14/19 09:44
4,11004,Latte (Matcha),1,4.75,01/01/19 05:22
5,11005,Latte (Sakura),1,4.75,01/07/19 10:41
6,11006,Tea (Earl Grey),4,1.75,01/24/19 11:36
7,11007,Latte (Rose),1,4.75,01/09/19 06:11
8,11008,Japanese Rolled Cake (Slice - Original),4,4.0,01/31/19 12:45
9,11009,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/05/19 10:19
10,11010,Macaroon (Pandan Coconut),3,3.0,01/15/19 11:16
11,11011,Milk Bread (Slice),2,1.25,01/04/19 10:30
12,11012,Americano (Hot),1,3.5,01/11/19 10:45
13,11013,Macaroon (Pistachio),1,3.0,01/09/19 10:14
14,11014,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,01/15/19 05:33
15,11015,Japanese Rolled Cake (Slice - Chocolate),1,4.0,01/23/19 09:58
16,11016,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,01/09/19 12:35
17,11017,Mango Yakult Refresher,1,4.75,01/29/19 08:07
18,11018,Dalgona Coffee (Matcha - Cold),1,3.25,01/24/19 08:30
19,11019,Japanese Rolled Cake (Roll - Original),1,12.0,01/19/19 14:38
20,11020,Tea (Rose),1,2.0,01/19/19 09:06
21,11021,Dalgona Coffee (Strawberry - Cold),1,3.25,01/21/19 08:20
22,11022,Dalgona Coffee (Matcha - Cold),1,3.25,01/09/19 13:55
23,11023,Dalgona Coffee (Original - Hot),1,2.75,01/26/19 12:00
24,11024,Tea (Sakura),1,2.0,01/20/19 11:58
25,11025,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,01/26/19 10:08
26,11026,Latte (Matcha),2,4.75,01/14/19 10:12
27,11027,Donut (Matcha),6,2.5,01/29/19 07:38
28,11028,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/14/19 06:18
29,11029,Americano (Iced),2,3.5,01/21/19 09:13
30,11030,Portguese Tart Egg Tarts (Single),3,2.0,01/05/19 03:39
31,11031,Donut (Red Bean),1,2.5,01/27/19 10:51
32,11032,Macaroon (Pandan Coconut),3,3.0,01/11/19 08:36
33,11033,Japanese Rolled Cake (Slice - Ube),1,4.0,01/29/19 02:42
34,11034,Macaroon (Matcha),1,3.0,01/17/19 07:00
35,11035,Japanese Rolled Cake (Roll - Original),1,12.0,01/10/19 08:40
36,11036,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/30/19 08:27
37,11037,Bulgogi Bun,1,2.75,01/28/19 10:10
38,11038,Dalgona Coffee (Original - Hot),2,2.75,01/21/19 09:52
39,11039,Macaroon (Green Tea),3,3.0,01/31/19 07:29
40,11040,Peach Yakult Refresher,1,4.75,01/07/19 09:41
41,11041,Dalgona Coffee (Original - Cold),1,3.0,01/22/19 07:33
42,11042,Original Croquette,1,3.0,01/05/19 12:37
43,11043,Dalgona Coffee (Matcha - Cold),3,3.25,01/05/19 07:59
44,11044,Japanese Cheesecake (Full - Matcha),1,12.0,01/11/19 09:07
45,11045,Latte (Sakura),1,4.75,01/14/19 11:30
46,11046,Japanese Rolled Cake (Roll - Matcha),1,12.0,01/19/19 10:16
47,11047,Dalgona Coffee (Strawberry - Cold),2,3.25,01/11/19 10:27
48,11048,Coffee (Hot),3,2.25,01/26/19 03:54
49,11049,Macaroon (Matcha),2,3.0,01/02/19 05:46
50,11050,Milk Bread (Slice),1,1.25,01/03/19 13:28
51,11051,Coffee (Iced),2,2.5,01/13/19 11:46
52,11052,Original Croquette,2,3.0,01/29/19 11:33
53,11053,Dalgona Coffee (Matcha - Hot),1,3.0,01/31/19 12:26
54,11054,Milk Bread (Slice),6,1.25,01/17/19 04:58
55,11055,Japanese Cheesecake (Slice - Original),1,3.75,01/19/19 14:47
56,11056,Donut (Matcha),3,2.5,01/03/19 09:13
57,11057,Macaroon (Strawberry),1,2.75,01/30/19 08:53
58,11058,Dalgona Coffee (Chocolate - Hot),2,3.0,01/19/19 09:17
59,11059,Japanese Rolled Cake (Roll - Ube),1,12.0,01/17/19 06:14
60,11060,Latte (Sakura),1,4.75,01/07/19 09:56
61,11061,Japanese Rolled Cake (Slice - Chocolate),1,4.0,01/30/19 09:45
62,11062,Dalgona Coffee (Strawberry - Cold),8,3.25,01/10/19 13:25
63,11063,Original Croquette,1,3.0,01/31/19 08:49
64,11064,Latte (Sakura),4,4.75,01/19/19 09:18
65,11065,Macaroon (Matcha),1,3.0,01/18/19 10:29
66,11066,Americano (Iced),2,3.5,01/10/19 05:52
67,11067,Macaroon (Black Seasame),1,3.0,01/18/19 08:33
68,11068,Mango Yakult Refresher,1,4.75,01/07/19 11:22
69,11069,Macaroon (Earl Grey),2,3.0,01/07/19 06:18
70,11070,Original Croquette,2,3.0,01/28/19 10:51
71,11071,Dalgona Coffee (Matcha - Cold),1,3.25,01/14/19 11:21
72,11072,Bulgogi Bun,2,2.75,01/22/19 05:33
73,11073,Japanese Rolled Cake (Slice - Ube),1,4.0,01/12/19 10:24
74,11074,Dalgona Coffee (Original - Hot),3,2.75,01/10/19 07:53
75,11075,Tea (Lavender),2,2.0,01/23/19 07:13
76,11076,Dalgona Coffee (Strawberry - Hot),1,3.0,01/27/19 08:05
77,11077,Coffee (Iced),1,2.5,01/13/19 11:20
78,11078,Tea (Rose),1,2.0,01/01/19 08:52
79,11079,Japanese Rolled Cake (Roll - Chocolate),1,12.0,01/27/19 11:22
80,11080,Donut (Red Bean),1,2.5,01/22/19 12:34
81,11081,Japanese Rolled Cake (Roll - Original),1,12.0,01/10/19 10:39
82,11082,Japanese Cheesecake (Slice - Original),2,3.75,01/31/19 05:48
83,11083,Dalgona Coffee (Original - Hot),1,2.75,01/07/19 04:09
84,11084,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/25/19 15:08
85,11085,Japanese Rolled Cake (Slice - Chocolate),1,4.0,01/06/19 10:50
86,11086,Americano (Iced),1,3.5,01/15/19 04:41
87,11087,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/19/19 06:41
88,11088,Green Tea Bun,1,2.75,01/23/19 08:10
89,11089,Coffee (Iced),2,2.5,01/19/19 12:13
90,11090,Tea (Sakura),1,2.0,01/27/19 06:58
91,11091,Green Tea Bun,1,2.75,01/18/19 12:00
92,11092,Macaroon (Green Tea),1,3.0,01/12/19 17:48
93,11093,Macaroon (Matcha),1,3.0,01/07/19 09:53
94,11094,Green Tea Banana Bread (Loaf),1,4.75,01/05/19 10:48
95,11095,Americano (Iced),1,3.5,01/06/19 06:48
96,11096,Special Bulgogi Lunch Set,1,12.5,01/20/19 08:11
97,11097,Mango Yakult Refresher,3,4.75,01/04/19 11:10
98,11098,Green Tea Banana Bread (Slice),1,1.75,01/10/19 07:49
99,11099,Dalgona Coffee (Original - Cold),1,3.0,01/22/19 12:48
100,11100,Tea (Green Tea),3,1.75,01/18/19 10:52
101,11101,Donut (Red Bean),5,2.5,01/06/19 11:08
102,11102,Fruit Sando (Japanese Fruit Sando),1,4.5,01/15/19 05:15
103,11103,Tea (Lavender),1,2.0,01/07/19 08:44
104,11104,Milk Bread (Loaf),2,4.5,01/24/19 11:52
105,11105,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/28/19 09:07
106,11106,Macaroon (Pandan Coconut),3,3.0,01/05/19 06:03
107,11107,Latte (Caramel),2,4.25,01/13/19 07:42
108,11108,Mango Yakult Refresher,1,4.75,01/27/19 05:46
109,11109,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/11/19 09:41
110,11110,Latte (Rose),1,4.75,01/15/19 09:31
111,11111,Tea (Rose),7,2.0,01/15/19 09:11
112,11112,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/26/19 09:18
113,11113,Latte (Regular),1,4.0,01/09/19 08:41
114,11114,Green Tea Yakult Refresher,1,5.0,01/24/19 12:05
115,11115,Latte (Rose),1,4.75,01/21/19 11:01
116,11116,Latte (Regular),1,4.0,01/21/19 08:21
117,11117,Dalgona Coffee (Strawberry - Hot),1,3.0,01/20/19 10:32
118,11118,Tea (Rose),1,2.0,01/04/19 11:34
119,11119,Dalgona Coffee (Chocolate - Cold),1,3.25,01/31/19 06:31
120,11120,Special Vegetarian Curry Lunch Set,1,15.0,01/04/19 13:45
121,11121,Tamago Sando (Japanese Egg Sandwich),1,4.5,01/12/19 03:51
122,11122,Japanese Cheesecake (Full - Original),1,11.75,01/19/19 10:36
123,11123,Japanese Cheesecake (Full - Original),1,11.75,01/08/19 06:40
124,11124,Dalgona Coffee (Chocolate - Hot),1,3.0,01/14/19 09:12
125,11125,Katsu Sando (Cripsy Chicken Katsu Sandwich),2,7.5,01/09/19 11:11
126,11126,Donut (Red Bean),3,2.5,01/15/19 10:08
