Order ID,Product,Quantity Ordered,Price Each,Order Date
34907,Donut (Red Bean),3,2.5,04/15/20 05:06
34908,Milk Bread (Slice),3,1.25,04/14/20 08:00
34908,Tea (Lavender),3,2.0,04/14/20 08:00
34909,Japanese Cheesecake (Full - Original),1,11.75,04/09/20 08:16
34910,Japanese Cheesecake (Slice - Original),2,3.75,04/21/20 03:29
34911,Macaroon (Matcha),1,3.0,04/29/20 07:08
34912,Japanese Rolled Cake (Slice - Matcha),1,4.0,04/11/20 11:04
34912,Latte (Rose),2,4.75,04/11/20 11:04
34913,Japanese Rolled Cake (Roll - Matcha),1,12.0,04/15/20 12:31
34914,Tea (Lavender),2,2.0,04/23/20 08:06
34915,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,04/08/20 11:08
34916,Coffee (Iced),1,2.5,04/18/20 12:49
34917,Portguese Tart Egg Tarts (Single),3,2.0,04/07/20 06:01
34918,Macaroon (Pandan Coconut),2,3.0,04/24/20 14:11
34919,Portguese Tart Egg Tarts (Single),3,2.0,04/30/20 05:02
34920,Americano (Hot),1,3.5,04/22/20 11:33
34921,Peach Yakult Refresher,1,4.75,04/18/20 10:20
34922,Special Japanese Pork Cutlet Lunch Set,1,12.0,04/11/20 07:08
34923,Macaroon (Earl Grey),1,3.0,04/26/20 05:05
34923,Tea (Earl Grey),1,1.75,04/26/20 05:05
34924,Japanese Rolled Cake (Slice - Chocolate),1,4.0,04/24/20 06:20
34925,Latte (Caramel),1,4.25,04/27/20 06:02
34926,Tea (Earl Grey),3,1.75,04/09/20 10:43
34927,Macaroon (Green Tea),1,3.0,04/24/20 10:59
34928,Japanese Cheesecake (Full - Original),1,11.75,04/06/20 07:48
34929,Japanese Cheesecake (Slice - Matcha),1,4.0,04/02/20 13:19
34930,Japanese Rolled Cake (Slice - Original),1,4.0,04/11/20 05:04
34931,Bulgogi Bun,1,2.75,04/16/20 06:20
34932,Dalgona Coffee (Original - Cold),1,3.0,04/03/20 13:40
