Order ID,Product,Quantity Ordered,Price Each,Order Date
62396,Macaroon (Pistachio),1,3.0,07/31/20 10:33
62397,Dalgona Coffee (Original - Hot),1,2.75,07/30/20 11:35
62398,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/28/20 09:39
62398,Coffee (Iced),1,2.5,07/28/20 09:39
62399,Macaroon (Earl Grey),1,3.0,07/14/20 11:26
62400,Mini Cheese Tart (Matcha),1,3.75,07/25/20 07:10
62401,Original Croquette,2,3.0,07/14/20 14:02
62402,Bulgogi Bun,1,2.75,07/02/20 11:36
62403,Macaroon (Mango),1,3.0,07/28/20 09:35
62404,Macaroon (Black Seasame),1,3.0,07/05/20 12:49
62405,Macaroon (Pistachio),1,3.0,07/19/20 07:54
62405,Dalgona Coffee (Original - Hot),3,2.75,07/19/20 07:54
62406,Japanese Cheesecake (Full - Matcha),1,12.0,07/09/20 07:56
62407,Green Tea Bun,1,2.75,07/05/20 04:21
62408,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,07/10/20 09:01
62409,Japanese Cheesecake (Full - Original),1,11.75,07/31/20 09:53
62410,Special Vegetarian Curry Lunch Set,1,15.0,07/28/20 10:15
62411,Dalgona Coffee (Strawberry - Hot),2,3.0,07/24/20 14:38
62412,Dalgona Coffee (Original - Cold),1,3.0,07/24/20 03:38
62413,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/03/20 00:54
62414,Macaroon (Matcha),1,3.0,07/13/20 04:35
62414,Dalgona Coffee (Strawberry - Cold),1,3.25,07/13/20 04:35
62415,Special Vegetarian Curry Lunch Set,1,15.0,07/26/20 11:25
62416,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/07/20 09:06
62417,Macaroon (Matcha),3,3.0,07/10/20 13:43
62418,Japanese Rolled Cake (Roll - Original),2,12.0,07/12/20 07:31
62419,Macaroon (Pandan Coconut),1,3.0,07/31/20 05:54
62420,Green Tea Banana Bread (Slice),2,1.75,07/09/20 11:22
62421,Japanese Cheesecake (Slice - Matcha),1,4.0,07/12/20 07:41
62422,Americano (Hot),1,3.5,07/08/20 09:47
62423,Donut (Matcha),2,2.5,07/18/20 10:32
62423,Dalgona Coffee (Original - Hot),1,2.75,07/18/20 10:32
62424,Dalgona Coffee (Chocolate - Cold),1,3.25,07/16/20 08:01
62425,Latte (Matcha),1,4.75,07/01/20 11:24
62426,Japanese Rolled Cake (Slice - Strawberry Cream),2,4.0,07/03/20 07:51
62426,Dalgona Coffee (Original - Cold),3,3.0,07/03/20 07:51
62427,Tea (Earl Grey),3,1.75,07/26/20 06:08
62428,Macaroon (Vietnamese Coffee),1,3.0,07/31/20 13:32
62429,Green Tea Banana Bread (Loaf),2,4.75,07/10/20 05:21
62430,Dalgona Coffee (Matcha - Hot),1,3.0,07/30/20 08:17
62431,Japanese Rolled Cake (Roll - Chocolate),1,12.0,07/01/20 11:46
62431,Americano (Iced),2,3.5,07/01/20 11:46
62432,Mango Yakult Refresher,2,4.75,07/19/20 07:43
62433,Dalgona Coffee (Strawberry - Cold),1,3.25,07/14/20 10:56
62434,Original Croquette,1,3.0,07/30/20 08:53
62435,Latte (Sakura),2,4.75,07/05/20 04:22
62436,Macaroon (Chocolate),2,2.75,07/22/20 07:14
62437,Macaroon (Green Tea),1,3.0,07/25/20 06:32
62438,Dalgona Coffee (Chocolate - Cold),1,3.25,07/02/20 11:28
62439,Macaroon (Black Seasame),1,3.0,07/04/20 04:21
62439,Americano (Hot),1,3.5,07/04/20 04:21
62440,Donut (Matcha),1,2.5,07/03/20 09:32
62441,Latte (Matcha),1,4.75,07/02/20 10:25
62442,Macaroon (Black Seasame),1,3.0,07/13/20 09:09
62443,Japanese Rolled Cake (Slice - Chocolate),3,4.0,07/29/20 08:28
62444,Dalgona Coffee (Matcha - Hot),1,3.0,07/02/20 06:37
62445,Green Tea Banana Bread (Slice),4,1.75,07/05/20 12:13
62445,Latte (Caramel),1,4.25,07/05/20 12:13
62446,Dalgona Coffee (Strawberry - Hot),1,3.0,07/20/20 07:38
62447,Special Bulgogi Lunch Set,1,12.5,07/15/20 13:32
62448,Mini Cheese Tart (Matcha),1,3.75,07/04/20 09:22
62448,Latte (Caramel),1,4.25,07/04/20 09:22
62449,Japanese Rolled Cake (Slice - Chocolate),2,4.0,07/06/20 10:39
62450,Tea (Green Tea),1,1.75,07/06/20 09:13
62451,Japanese Cheesecake (Full - Matcha),3,12.0,07/05/20 10:42
62452,Dalgona Coffee (Original - Hot),1,2.75,07/20/20 03:31
62453,Dalgona Coffee (Chocolate - Cold),1,3.25,07/22/20 09:38
62454,Coffee (Iced),1,2.5,07/29/20 05:21
62455,Special Bulgogi Lunch Set,2,12.5,07/22/20 07:08
62456,Original Croquette,1,3.0,07/18/20 11:19
62457,Japanese Rolled Cake (Roll - Chocolate),1,12.0,07/12/20 10:05
62457,Latte (Rose),1,4.75,07/12/20 10:05
62458,Coffee (Iced),3,2.5,07/23/20 09:53
62459,Donut (Ube),1,2.5,07/01/20 09:26
62460,Coffee (Iced),2,2.5,07/19/20 11:33
62461,Latte (Matcha),1,4.75,07/12/20 09:15
62462,Coffee (Iced),1,2.5,07/10/20 13:21
62463,Latte (Matcha),1,4.75,07/13/20 10:06
62464,Americano (Iced),2,3.5,07/20/20 06:58
62465,Americano (Hot),2,3.5,07/14/20 09:56
62466,Japanese Cheesecake (Full - Original),1,11.75,07/07/20 06:19
62467,Latte (Caramel),2,4.25,07/29/20 04:59
62468,Bulgogi Bun,1,2.75,07/27/20 09:07
62469,Japanese Rolled Cake (Roll - Original),1,12.0,07/09/20 09:23
62470,Donut (Matcha),1,2.5,07/22/20 07:48
62471,Special Vegetarian Curry Lunch Set,1,15.0,07/04/20 07:40
62472,Fruit Sando (Japanese Fruit Sando),1,4.5,07/04/20 09:28
62473,Japanese Cheesecake (Full - Original),1,11.75,07/08/20 09:22
62474,Dalgona Coffee (Matcha - Cold),1,3.25,07/26/20 08:34
62475,Japanese Rolled Cake (Slice - Chocolate),2,4.0,07/08/20 09:02
62476,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/08/20 10:23
62476,Latte (Matcha),1,4.75,07/08/20 10:23
62477,Japanese Rolled Cake (Roll - Original),1,12.0,07/13/20 12:10
62478,Macaroon (Pandan Coconut),1,3.0,07/06/20 04:43
62479,Americano (Iced),3,3.5,07/12/20 06:46
62480,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/10/20 03:44
62481,Original Croquette,2,3.0,07/20/20 08:53
62482,Tea (Sakura),7,2.0,07/20/20 10:48
62483,Donut (Ube),3,2.5,07/12/20 11:58
62484,Japanese Cheesecake (Slice - Original),1,3.75,07/01/20 10:18
62485,Green Tea Bun,2,2.75,07/25/20 06:55
62486,Macaroon (Pandan Coconut),2,3.0,07/10/20 08:26
62486,Tea (Lavender),1,2.0,07/10/20 08:26
62487,Americano (Hot),1,3.5,07/11/20 03:49
62488,Mini Cheese Tart (Orginal),1,3.75,07/14/20 07:42
62489,Dalgona Coffee (Original - Hot),1,2.75,07/14/20 10:12
62490,Milk Bread (Slice),1,1.25,07/28/20 13:16
62491,Coffee (Hot),3,2.25,07/24/20 08:51
62492,Latte (Sakura),1,4.75,07/25/20 11:43
62493,Japanese Rolled Cake (Slice - Original),3,4.0,07/22/20 11:02
62494,Green Tea Bun,1,2.75,07/01/20 06:21
62495,Portguese Tart Egg Tarts (6),1,11.0,07/16/20 11:10
62496,Donut (Matcha),2,2.5,07/05/20 08:53
62496,Latte (Caramel),1,4.25,07/05/20 08:53
62497,Japanese Cheesecake (Slice - Original),1,3.75,07/14/20 11:42
62498,Original Croquette,2,3.0,07/23/20 05:57
62499,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,07/29/20 07:11
62500,Japanese Cheesecake (Slice - Original),1,3.75,07/06/20 14:18
62501,Dalgona Coffee (Matcha - Cold),1,3.25,07/19/20 15:04
62502,Macaroon (Earl Grey),4,3.0,07/23/20 10:41
62503,Macaroon (Strawberry),2,2.75,07/03/20 10:13
62503,Latte (Regular),1,4.0,07/03/20 10:13
62504,Peach Yakult Refresher,1,4.75,07/15/20 12:21
62505,Red Bean Bun,1,2.75,07/27/20 07:43
62505,Green Tea Yakult Refresher,2,5.0,07/27/20 07:43
62506,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/24/20 05:32
62507,Green Tea Bun,3,2.75,07/15/20 10:37
62508,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/05/20 10:39
62509,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/28/20 14:36
62510,Special Bulgogi Lunch Set,1,12.5,07/02/20 13:36
62511,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/06/20 11:25
62512,Special Bulgogi Lunch Set,1,12.5,07/15/20 10:34
62513,Coffee (Iced),2,2.5,07/04/20 06:29
62514,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/13/20 08:07
62515,Latte (Caramel),2,4.25,07/04/20 11:42
62516,Tea (Green Tea),1,1.75,07/03/20 10:03
62517,Macaroon (Vanilla),1,2.75,07/14/20 07:14
62518,Tea (Rose),1,2.0,07/30/20 09:09
62519,Tea (Rose),3,2.0,07/10/20 07:54
62520,Green Tea Yakult Refresher,1,5.0,07/27/20 10:27
62521,Milk Bread (Slice),11,1.25,07/07/20 10:51
62521,Tea (Rose),4,2.0,07/07/20 10:51
62522,Green Tea Yakult Refresher,3,5.0,07/14/20 09:25
62523,Dalgona Coffee (Chocolate - Hot),2,3.0,07/29/20 08:59
62524,Macaroon (Pistachio),1,3.0,07/07/20 06:05
62525,Macaroon (Vietnamese Coffee),2,3.0,07/23/20 05:01
62525,Dalgona Coffee (Matcha - Hot),2,3.0,07/23/20 05:01
62526,Fruit Sando (Japanese Fruit Sando),1,4.5,07/16/20 10:19
62527,Special Vegetarian Curry Lunch Set,1,15.0,07/10/20 08:41
62528,Coffee (Iced),1,2.5,07/22/20 13:15
62529,Portguese Tart Egg Tarts (Single),6,2.0,07/31/20 10:29
62529,Tea (Green Tea),3,1.75,07/31/20 10:29
62530,Dalgona Coffee (Original - Hot),1,2.75,07/13/20 06:43
62531,Macaroon (Pistachio),2,3.0,07/09/20 11:06
62532,Mango Yakult Refresher,1,4.75,07/29/20 07:20
62533,Macaroon (Pistachio),1,3.0,07/21/20 12:18
62533,Coffee (Iced),3,2.5,07/21/20 12:18
62534,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/10/20 06:47
62534,Dalgona Coffee (Matcha - Hot),1,3.0,07/10/20 06:47
62535,Japanese Cheesecake (Full - Matcha),1,12.0,07/04/20 09:35
62536,Americano (Hot),1,3.5,07/15/20 11:55
62537,Latte (Caramel),1,4.25,07/20/20 10:18
62538,Fruit Sando (Japanese Fruit Sando),1,4.5,07/28/20 06:05
62539,Macaroon (Vietnamese Coffee),2,3.0,07/11/20 11:21
62540,Dalgona Coffee (Chocolate - Hot),2,3.0,07/15/20 12:10
62541,Japanese Cheesecake (Full - Original),1,11.75,07/06/20 09:56
62542,Dalgona Coffee (Chocolate - Cold),1,3.25,07/23/20 03:46
62543,Dalgona Coffee (Chocolate - Cold),1,3.25,07/18/20 15:15
62544,Japanese Rolled Cake (Roll - Matcha),2,12.0,07/04/20 06:35
62545,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/03/20 06:11
62546,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/30/20 09:35
62547,Fruit Sando (Japanese Fruit Sando),1,4.5,07/16/20 09:45
62548,Macaroon (Pandan Coconut),1,3.0,07/23/20 07:24
62549,Latte (Caramel),1,4.25,07/15/20 06:39
62550,Milk Bread (Slice),5,1.25,07/25/20 03:15
62551,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/08/20 10:53
62552,Japanese Rolled Cake (Roll - Matcha),1,12.0,07/01/20 08:30
62553,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/17/20 12:12
62554,Tea (Earl Grey),2,1.75,07/18/20 04:47
62555,Japanese Rolled Cake (Roll - Chocolate),1,12.0,07/18/20 15:05
62555,Dalgona Coffee (Matcha - Cold),1,3.25,07/18/20 15:05
62556,Green Tea Bun,3,2.75,07/31/20 11:29
62556,Americano (Iced),1,3.5,07/31/20 11:29
62557,Green Tea Yakult Refresher,1,5.0,07/10/20 05:49
62558,Macaroon (Vietnamese Coffee),1,3.0,07/15/20 07:53
62559,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/10/20 14:28
62560,Tea (Green Tea),1,1.75,07/25/20 07:02
62561,Green Tea Bun,2,2.75,07/02/20 09:04
62562,Japanese Cheesecake (Slice - Matcha),1,4.0,07/26/20 05:20
62563,Original Croquette,2,3.0,07/13/20 06:31
62564,Macaroon (Vanilla),1,2.75,07/17/20 14:02
62565,Macaroon (Pandan Coconut),1,3.0,07/18/20 06:09
62565,Dalgona Coffee (Strawberry - Cold),1,3.25,07/18/20 06:09
62566,Dalgona Coffee (Original - Cold),1,3.0,07/27/20 10:57
62567,Milk Bread (Loaf),1,4.5,07/07/20 08:10
62568,Donut (Matcha),2,2.5,07/06/20 10:01
62569,Macaroon (Pandan Coconut),1,3.0,07/14/20 10:55
62570,Green Tea Bun,1,2.75,07/14/20 10:00
62570,Mango Yakult Refresher,1,4.75,07/14/20 10:00
62571,Mango Yakult Refresher,2,4.75,07/30/20 08:44
62572,Japanese Rolled Cake (Slice - Ube),1,4.0,07/31/20 08:24
62573,Dalgona Coffee (Strawberry - Cold),2,3.25,07/31/20 05:37
62574,Macaroon (Earl Grey),2,3.0,07/10/20 10:31
62575,Macaroon (Chocolate),1,2.75,07/03/20 10:05
62575,Latte (Matcha),1,4.75,07/03/20 10:05
62576,Macaroon (Matcha),1,3.0,07/03/20 10:59
62577,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/11/20 04:27
62578,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/07/20 11:06
62579,Special Japanese Pork Cutlet Lunch Set,1,12.0,07/04/20 12:39
62580,Japanese Rolled Cake (Slice - Chocolate),1,4.0,07/26/20 06:42
62580,Tea (Earl Grey),1,1.75,07/26/20 06:42
62581,Tea (Green Tea),1,1.75,07/14/20 07:59
62582,Original Croquette,1,3.0,07/09/20 09:14
62583,Japanese Rolled Cake (Slice - Chocolate),1,4.0,07/05/20 12:10
62584,Red Bean Bun,2,2.75,07/28/20 07:47
62585,Japanese Cheesecake (Full - Matcha),1,12.0,07/03/20 06:30
62586,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/12/20 07:05
62587,Portguese Tart Egg Tarts (Single),1,2.0,07/21/20 06:25
62588,Fruit Sando (Japanese Fruit Sando),2,4.5,07/27/20 04:36
62589,Green Tea Yakult Refresher,2,5.0,07/13/20 06:42
62590,Macaroon (Pistachio),1,3.0,07/30/20 14:13
62591,Bulgogi Bun,1,2.75,07/22/20 05:44
62592,Bulgogi Bun,2,2.75,07/06/20 09:27
62593,Dalgona Coffee (Strawberry - Cold),1,3.25,07/01/20 08:49
62594,Donut (Ube),1,2.5,07/16/20 10:56
62595,Mini Cheese Tart (Chocolate),1,3.75,07/25/20 03:38
62596,Mango Yakult Refresher,1,4.75,07/18/20 07:02
62597,Tea (Lavender),1,2.0,07/16/20 08:53
62598,Japanese Rolled Cake (Slice - Original),6,4.0,07/02/20 08:25
62599,Latte (Regular),2,4.0,07/23/20 02:36
62600,Macaroon (Strawberry),3,2.75,07/14/20 06:22
62600,Tea (Lavender),1,2.0,07/14/20 06:22
62601,Original Croquette,2,3.0,07/09/20 16:27
62602,Dalgona Coffee (Matcha - Cold),2,3.25,07/27/20 05:51
62603,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/24/20 07:19
62603,Latte (Regular),3,4.0,07/24/20 07:19
62604,Japanese Cheesecake (Full - Original),1,11.75,07/10/20 01:29
62605,Japanese Rolled Cake (Slice - Ube),1,4.0,07/05/20 08:43
62605,Dalgona Coffee (Chocolate - Cold),3,3.25,07/05/20 08:43
62606,Donut (Matcha),1,2.5,07/21/20 02:23
62607,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,07/02/20 12:57
62607,Tea (Rose),4,2.0,07/02/20 12:57
62608,Japanese Rolled Cake (Roll - Chocolate),1,12.0,07/04/20 02:23
62608,Latte (Matcha),1,4.75,07/04/20 02:23
62609,Macaroon (Vanilla),2,2.75,07/14/20 10:23
62610,Latte (Matcha),1,4.75,07/01/20 05:23
62611,Japanese Rolled Cake (Slice - Chocolate),1,4.0,07/04/20 07:55
62612,Macaroon (Vietnamese Coffee),1,3.0,07/13/20 13:41
62613,Dalgona Coffee (Matcha - Cold),5,3.25,07/03/20 06:30
62614,Macaroon (Earl Grey),1,3.0,07/17/20 07:07
62615,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/03/20 07:24
62616,Dalgona Coffee (Original - Cold),1,3.0,07/20/20 06:48
62617,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/26/20 06:16
62618,Coffee (Iced),2,2.5,07/13/20 13:42
62619,Latte (Sakura),1,4.75,07/27/20 10:15
62620,Macaroon (Green Tea),1,3.0,07/23/20 06:13
62621,Tea (Lavender),2,2.0,07/05/20 07:41
62622,Macaroon (Pistachio),2,3.0,07/28/20 13:45
62623,Macaroon (Black Seasame),1,3.0,07/19/20 09:18
62624,Dalgona Coffee (Strawberry - Cold),1,3.25,07/09/20 11:58
62625,Peach Yakult Refresher,1,4.75,07/24/20 05:51
62626,Donut (Red Bean),3,2.5,07/09/20 14:11
62627,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,07/21/20 02:27
62628,Macaroon (Lavender),2,3.0,07/03/20 05:25
62629,Donut (Matcha),1,2.5,07/10/20 13:39
62630,Dalgona Coffee (Original - Hot),4,2.75,07/24/20 09:33
62631,Japanese Cheesecake (Slice - Matcha),1,4.0,07/10/20 06:03
62632,Original Croquette,1,3.0,07/10/20 04:49
62633,Portguese Tart Egg Tarts (6),1,11.0,07/23/20 12:47
62633,Green Tea Yakult Refresher,3,5.0,07/23/20 12:47
62634,Green Tea Banana Bread (Slice),1,1.75,07/16/20 19:19
62634,Tea (Lavender),1,2.0,07/16/20 19:19
62635,Macaroon (Pandan Coconut),3,3.0,07/07/20 08:55
62635,Tea (Rose),3,2.0,07/07/20 08:55
62636,Green Tea Banana Bread (Loaf),1,4.75,07/17/20 09:41
62636,Tea (Rose),3,2.0,07/17/20 09:41
62637,Dalgona Coffee (Matcha - Cold),1,3.25,07/24/20 10:31
62638,Mini Cheese Tart (Matcha),1,3.75,07/25/20 04:16
62638,Latte (Matcha),2,4.75,07/25/20 04:16
62639,Macaroon (Pistachio),1,3.0,07/12/20 08:28
62640,Original Croquette,1,3.0,07/04/20 06:22
62641,Green Tea Banana Bread (Slice),2,1.75,07/07/20 08:54
62642,Tea (Earl Grey),1,1.75,07/15/20 06:32
62643,Japanese Rolled Cake (Roll - Original),1,12.0,07/14/20 10:08
62643,Latte (Matcha),3,4.75,07/14/20 10:08
62644,Special Vegetarian Curry Lunch Set,1,15.0,07/30/20 08:56
62645,Bulgogi Bun,3,2.75,07/04/20 06:37
62646,Coffee (Iced),1,2.5,07/29/20 10:32
62647,Milk Bread (Loaf),1,4.5,07/25/20 08:21
62648,Macaroon (Strawberry),1,2.75,07/12/20 09:24
62649,Macaroon (Black Seasame),2,3.0,07/25/20 10:11
62650,Original Croquette,1,3.0,07/16/20 12:47
62651,Macaroon (Black Seasame),1,3.0,07/19/20 09:44
62652,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/09/20 10:12
62652,Americano (Hot),2,3.5,07/09/20 10:12
62653,Donut (Matcha),1,2.5,07/16/20 09:01
62654,Tamago Sando (Japanese Egg Sandwich),2,4.5,07/29/20 05:49
62655,Mini Cheese Tart (Orginal),1,3.75,07/28/20 10:34
62656,Americano (Iced),1,3.5,07/24/20 10:36
62657,Red Bean Bun,1,2.75,07/01/20 08:53
62658,Tea (Rose),1,2.0,07/17/20 05:31
62659,Japanese Cheesecake (Slice - Matcha),1,4.0,07/25/20 13:55
62660,Japanese Cheesecake (Slice - Matcha),1,4.0,07/01/20 14:46
62661,Donut (Red Bean),1,2.5,07/08/20 11:25
62662,Coffee (Iced),5,2.5,07/18/20 06:26
62663,Mini Cheese Tart (Chocolate),2,3.75,07/29/20 09:18
62663,Peach Yakult Refresher,1,4.75,07/29/20 09:18
62664,Macaroon (Chocolate),1,2.75,07/30/20 10:26
62665,Latte (Rose),1,4.75,07/19/20 12:52
62666,Latte (Caramel),1,4.25,07/19/20 06:57
62667,Japanese Cheesecake (Slice - Matcha),3,4.0,07/10/20 10:01
62668,Macaroon (Pandan Coconut),1,3.0,07/28/20 08:13
62669,Latte (Rose),1,4.75,07/26/20 05:17
62670,Dalgona Coffee (Original - Hot),3,2.75,07/14/20 09:50
62671,Japanese Cheesecake (Full - Matcha),1,12.0,07/10/20 08:29
62672,Americano (Iced),1,3.5,07/07/20 02:52
62673,Latte (Matcha),1,4.75,07/31/20 08:55
62674,Japanese Rolled Cake (Roll - Matcha),1,12.0,07/08/20 08:34
62674,Dalgona Coffee (Strawberry - Hot),1,3.0,07/08/20 08:34
62675,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/04/20 09:36
62676,Latte (Matcha),1,4.75,07/22/20 06:47
62677,Japanese Cheesecake (Full - Matcha),1,12.0,07/23/20 10:40
62678,Macaroon (Strawberry),2,2.75,07/24/20 10:12
62678,Tea (Rose),2,2.0,07/24/20 10:12
62679,Americano (Iced),2,3.5,07/29/20 10:41
62680,Japanese Cheesecake (Slice - Matcha),1,4.0,07/01/20 12:34
62681,Coffee (Hot),1,2.25,07/16/20 07:55
62682,Donut (Matcha),4,2.5,07/16/20 08:08
62682,Latte (Regular),2,4.0,07/16/20 08:08
62683,Peach Yakult Refresher,1,4.75,07/25/20 07:40
62684,Japanese Cheesecake (Full - Original),2,11.75,07/03/20 05:34
62685,Macaroon (Earl Grey),1,3.0,07/05/20 10:30
62685,Latte (Regular),1,4.0,07/05/20 10:30
62686,Japanese Cheesecake (Full - Matcha),1,12.0,07/10/20 06:59
62687,Dalgona Coffee (Original - Cold),2,3.0,07/04/20 10:34
