Order ID,Product,Quantity Ordered,Price Each,Order Date
54053,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,06/16/20 08:06
54054,Americano (Hot),1,3.5,06/30/20 04:24
54055,Japanese Rolled Cake (Slice - Matcha),1,4.0,06/06/20 06:18
54055,Dalgona Coffee (Strawberry - Hot),1,3.0,06/06/20 06:18
54056,Tea (Earl Grey),5,1.75,06/20/20 08:39
54057,Macaroon (Mango),3,3.0,06/11/20 05:27
54058,Green Tea Banana Bread (Slice),3,1.75,06/28/20 06:11
54058,Dalgona Coffee (Strawberry - Hot),1,3.0,06/28/20 06:11
54059,Dalgona Coffee (Matcha - Cold),1,3.25,06/25/20 11:57
54060,Latte (Matcha),2,4.75,06/03/20 04:45
54061,Latte (Matcha),1,4.75,06/01/20 08:49
54062,Macaroon (Vietnamese Coffee),1,3.0,06/06/20 06:01
54063,Bulgogi Bun,2,2.75,06/15/20 10:23
54064,Tamago Sando (Japanese Egg Sandwich),1,4.5,06/17/20 09:59
54065,Green Tea Bun,1,2.75,06/22/20 11:46
54066,Dalgona Coffee (Chocolate - Cold),3,3.25,06/22/20 07:02
54067,Japanese Rolled Cake (Slice - Ube),1,4.0,06/13/20 07:23
54068,Donut (Red Bean),1,2.5,06/24/20 13:28
54068,Americano (Iced),1,3.5,06/24/20 13:28
54069,Japanese Cheesecake (Full - Original),1,11.75,06/16/20 13:54
54070,Dalgona Coffee (Chocolate - Cold),1,3.25,06/06/20 10:09
54071,Macaroon (Vanilla),1,2.75,06/04/20 11:05
54072,Special Vegetarian Curry Lunch Set,1,15.0,06/26/20 07:38
54073,Macaroon (Lavender),4,3.0,06/18/20 07:15
54073,Dalgona Coffee (Original - Hot),1,2.75,06/18/20 07:15
54074,Latte (Matcha),1,4.75,06/03/20 11:16
54075,Macaroon (Lavender),1,3.0,06/01/20 12:59
54075,Dalgona Coffee (Matcha - Hot),1,3.0,06/01/20 12:59
54076,Latte (Matcha),2,4.75,06/11/20 04:59
54077,Special Vegetarian Curry Lunch Set,1,15.0,06/27/20 06:30
54078,Green Tea Bun,2,2.75,06/23/20 05:57
54079,Donut (Red Bean),3,2.5,06/01/20 04:56
54080,Special Japanese Pork Cutlet Lunch Set,1,12.0,06/13/20 11:49
54081,Green Tea Banana Bread (Slice),1,1.75,06/28/20 09:58
54081,Dalgona Coffee (Matcha - Hot),3,3.0,06/28/20 09:58
54082,Dalgona Coffee (Original - Cold),1,3.0,06/10/20 08:42
54083,Special Vegetarian Curry Lunch Set,1,15.0,06/23/20 08:30
