Order ID,Product,Quantity Ordered,Price Each,Order Date
29789,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,03/03/20 06:30
29790,Dalgona Coffee (Matcha - Hot),2,3.0,03/06/20 09:05
29791,Tea (Green Tea),1,1.75,03/04/20 07:01
29792,Macaroon (Vietnamese Coffee),1,3.0,03/17/20 08:50
29792,Dalgona Coffee (Chocolate - Cold),4,3.25,03/17/20 08:50
29793,Japanese Rolled Cake (Slice - Original),2,4.0,03/25/20 09:30
29794,Japanese Cheesecake (Full - Matcha),1,12.0,03/01/20 06:01
29795,Macaroon (Green Tea),1,3.0,03/08/20 07:52
29796,Dalgona Coffee (Original - Cold),1,3.0,03/20/20 10:43
29797,Tea (Green Tea),3,1.75,03/20/20 11:11
29798,Donut (Red Bean),1,2.5,03/04/20 06:38
29799,Macaroon (Pistachio),1,3.0,03/09/20 11:03
29800,Japanese Rolled Cake (Roll - Original),1,12.0,03/03/20 04:47
29801,Mango Yakult Refresher,1,4.75,03/17/20 03:06
29802,Japanese Rolled Cake (Slice - Matcha),1,4.0,03/11/20 08:51
29803,Japanese Rolled Cake (Roll - Original),1,12.0,03/22/20 12:08
29804,Portguese Tart Egg Tarts (6),1,11.0,03/17/20 14:10
29805,Japanese Rolled Cake (Slice - Matcha),1,4.0,03/06/20 13:13
29806,Macaroon (Chocolate),2,2.75,03/28/20 06:27
29807,Green Tea Bun,1,2.75,03/19/20 06:10
29808,Macaroon (Vietnamese Coffee),2,3.0,03/26/20 10:21
29808,Tea (Sakura),1,2.0,03/26/20 10:21
29809,Peach Yakult Refresher,1,4.75,03/26/20 13:54
29810,Macaroon (Vanilla),1,2.75,03/08/20 11:03
29810,Latte (Rose),1,4.75,03/08/20 11:03
29811,Japanese Cheesecake (Full - Matcha),1,12.0,03/16/20 07:12
29812,Macaroon (Vietnamese Coffee),1,3.0,03/11/20 07:58
29813,Americano (Iced),1,3.5,03/18/20 06:26
29814,Macaroon (Chocolate),1,2.75,03/27/20 05:43
29815,Macaroon (Black Seasame),3,3.0,03/10/20 10:18
29816,Peach Yakult Refresher,1,4.75,03/07/20 10:04
29817,Macaroon (Pistachio),2,3.0,03/24/20 04:00
29817,Dalgona Coffee (Chocolate - Cold),1,3.25,03/24/20 04:00
29818,Milk Bread (Slice),5,1.25,03/05/20 07:15
29819,Latte (Regular),1,4.0,03/09/20 08:32
29820,Green Tea Banana Bread (Slice),1,1.75,03/03/20 08:11
29821,Latte (Caramel),2,4.25,03/28/20 10:33
29822,Tea (Green Tea),3,1.75,03/18/20 10:36
29823,Americano (Iced),2,3.5,03/06/20 06:17
29824,Americano (Iced),1,3.5,03/16/20 13:26
29825,Tamago Sando (Japanese Egg Sandwich),2,4.5,03/21/20 07:56
29826,Japanese Rolled Cake (Roll - Original),1,12.0,03/29/20 05:33
29827,Dalgona Coffee (Chocolate - Hot),1,3.0,03/23/20 07:57
29828,Mini Cheese Tart (Chocolate),1,3.75,03/07/20 11:34
29829,Special Japanese Pork Cutlet Lunch Set,1,12.0,03/19/20 08:25
29830,Latte (Sakura),3,4.75,03/03/20 09:48
29831,Original Croquette,1,3.0,03/14/20 04:56
29832,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,03/24/20 03:47
29832,Tea (Green Tea),1,1.75,03/24/20 03:47
29833,Tea (Lavender),3,2.0,03/08/20 11:29
29834,Macaroon (Vanilla),1,2.75,03/24/20 08:36
29834,Latte (Sakura),1,4.75,03/24/20 08:36
29835,Latte (Regular),2,4.0,03/15/20 08:44
29836,Japanese Rolled Cake (Slice - Chocolate),2,4.0,03/31/20 16:47
29837,Macaroon (Black Seasame),2,3.0,03/16/20 08:21
29837,Tea (Sakura),2,2.0,03/16/20 08:21
29838,Macaroon (Vanilla),1,2.75,03/07/20 06:03
29839,Macaroon (Matcha),1,3.0,03/02/20 09:27
29840,Dalgona Coffee (Original - Cold),1,3.0,03/17/20 12:09
29841,Japanese Rolled Cake (Roll - Ube),1,12.0,03/02/20 11:59
29842,Tea (Rose),1,2.0,03/20/20 12:50
29843,Japanese Rolled Cake (Roll - Chocolate),1,12.0,03/16/20 02:46
29844,Peach Yakult Refresher,1,4.75,03/15/20 07:30
29845,Milk Bread (Slice),10,1.25,03/18/20 12:03
29846,Macaroon (Strawberry),1,2.75,03/23/20 09:37
29847,Dalgona Coffee (Original - Hot),4,2.75,03/09/20 07:59
29848,Macaroon (Matcha),1,3.0,03/18/20 13:06
29849,Donut (Red Bean),2,2.5,03/06/20 12:18
29850,Milk Bread (Slice),1,1.25,03/24/20 04:34
29850,Dalgona Coffee (Matcha - Hot),1,3.0,03/24/20 04:34
29851,Coffee (Iced),2,2.5,03/18/20 10:55
29852,Green Tea Yakult Refresher,1,5.0,03/21/20 05:30
29853,Bulgogi Bun,2,2.75,03/18/20 03:12
29854,Macaroon (Black Seasame),1,3.0,03/04/20 08:18
29855,Macaroon (Vanilla),1,2.75,03/05/20 12:19
29856,Japanese Cheesecake (Full - Matcha),1,12.0,03/13/20 05:08
29857,Japanese Rolled Cake (Slice - Original),1,4.0,03/21/20 02:43
29857,Tea (Lavender),2,2.0,03/21/20 02:43
29858,Donut (Matcha),1,2.5,03/18/20 09:37
29859,Portguese Tart Egg Tarts (6),1,11.0,03/21/20 07:50
29860,Dalgona Coffee (Chocolate - Hot),1,3.0,03/13/20 13:04
29861,Macaroon (Vanilla),1,2.75,03/27/20 11:53
29861,Americano (Iced),1,3.5,03/27/20 11:53
29862,Milk Bread (Slice),2,1.25,03/24/20 04:50
29863,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,03/29/20 13:18
29864,Special Bulgogi Lunch Set,1,12.5,03/12/20 10:21
29865,Dalgona Coffee (Original - Hot),2,2.75,03/04/20 13:29
29866,Mini Cheese Tart (Orginal),1,3.75,03/07/20 06:57
29867,Latte (Rose),1,4.75,03/09/20 08:53
29868,Tea (Sakura),1,2.0,03/02/20 11:43
29869,Latte (Caramel),2,4.25,03/27/20 12:33
29870,Japanese Rolled Cake (Slice - Ube),1,4.0,03/19/20 11:17
29871,Dalgona Coffee (Original - Hot),1,2.75,03/23/20 11:37
29872,Green Tea Banana Bread (Loaf),1,4.75,03/07/20 11:39
29873,Green Tea Banana Bread (Slice),2,1.75,03/19/20 06:10
29874,Tamago Sando (Japanese Egg Sandwich),1,4.5,03/30/20 06:01
29875,Americano (Iced),1,3.5,03/12/20 07:55
29876,Japanese Rolled Cake (Slice - Original),2,4.0,03/16/20 07:59
29877,Dalgona Coffee (Matcha - Cold),1,3.25,03/06/20 08:23
29878,Mini Cheese Tart (Orginal),3,3.75,03/05/20 09:52
29879,Japanese Rolled Cake (Slice - Strawberry Cream),2,4.0,03/18/20 08:38
29880,Latte (Matcha),1,4.75,03/17/20 09:18
29881,Japanese Rolled Cake (Slice - Chocolate),1,4.0,03/23/20 08:49
29882,Japanese Cheesecake (Full - Original),1,11.75,03/26/20 04:35
29883,Macaroon (Green Tea),1,3.0,03/02/20 02:38
29884,Dalgona Coffee (Chocolate - Hot),2,3.0,03/20/20 04:13
29885,Japanese Rolled Cake (Slice - Ube),1,4.0,03/12/20 10:24
29886,Latte (Matcha),1,4.75,03/04/20 10:11
29887,Original Croquette,1,3.0,03/16/20 12:43
29888,Dalgona Coffee (Chocolate - Hot),1,3.0,03/03/20 12:37
29889,Latte (Matcha),1,4.75,03/29/20 09:50
29890,Bulgogi Bun,1,2.75,03/27/20 11:49
29891,Special Bulgogi Lunch Set,1,12.5,03/07/20 04:09
29892,Japanese Cheesecake (Full - Matcha),1,12.0,03/31/20 09:08
29893,Japanese Rolled Cake (Slice - Chocolate),1,4.0,03/16/20 06:28
29894,Milk Bread (Slice),10,1.25,03/04/20 07:53
29895,Latte (Sakura),1,4.75,03/20/20 14:43
29896,Dalgona Coffee (Chocolate - Cold),1,3.25,03/08/20 05:38
29897,Japanese Cheesecake (Slice - Original),2,3.75,03/29/20 07:32
29898,Tamago Sando (Japanese Egg Sandwich),1,4.5,03/17/20 10:13
29899,Mango Yakult Refresher,1,4.75,03/11/20 06:18
29900,Macaroon (Pistachio),1,3.0,03/16/20 09:06
29901,Portguese Tart Egg Tarts (Single),3,2.0,03/18/20 11:12
29902,Japanese Cheesecake (Slice - Original),5,3.75,03/13/20 12:05
29903,Donut (Red Bean),2,2.5,03/01/20 08:31
29904,Portguese Tart Egg Tarts (Single),2,2.0,03/31/20 07:58
29905,Special Japanese Pork Cutlet Lunch Set,1,12.0,03/07/20 10:03
29906,Special Vegetarian Curry Lunch Set,1,15.0,03/29/20 06:40
29907,Dalgona Coffee (Original - Hot),1,2.75,03/23/20 07:59
29908,Peach Yakult Refresher,2,4.75,03/10/20 10:34
29909,Dalgona Coffee (Original - Cold),1,3.0,03/31/20 11:32
29910,Donut (Matcha),1,2.5,03/31/20 07:47
29911,Green Tea Yakult Refresher,1,5.0,03/04/20 09:03
29912,Macaroon (Lavender),2,3.0,03/15/20 10:33
29912,Dalgona Coffee (Original - Hot),3,2.75,03/15/20 10:33
29913,Mango Yakult Refresher,1,4.75,03/12/20 07:53
29914,Americano (Iced),2,3.5,03/31/20 04:13
29915,Milk Bread (Loaf),1,4.5,03/07/20 05:07
29915,Coffee (Hot),1,2.25,03/07/20 05:07
