Order ID,Product,Quantity Ordered,Price Each,Order Date
40285,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/08/20 08:30
40286,Macaroon (Matcha),1,3.0,05/18/20 06:28
40286,Peach Yakult Refresher,1,4.75,05/18/20 06:28
40287,Donut (Matcha),1,2.5,05/09/20 04:49
40287,Tea (Rose),1,2.0,05/09/20 04:49
40288,Macaroon (Black Seasame),1,3.0,05/16/20 04:41
40289,Dalgona Coffee (Matcha - Hot),1,3.0,05/04/20 06:07
40290,Americano (Iced),2,3.5,05/07/20 13:34
40291,Special Japanese Pork Cutlet Lunch Set,1,12.0,05/27/20 13:48
40292,Japanese Cheesecake (Full - Matcha),1,12.0,05/05/20 13:51
40293,Japanese Rolled Cake (Roll - Matcha),1,12.0,05/19/20 07:53
40293,Americano (Hot),1,3.5,05/19/20 07:53
40294,Macaroon (Lavender),1,3.0,05/18/20 14:34
40295,Japanese Rolled Cake (Slice - Strawberry Cream),2,4.0,05/29/20 14:00
40295,Latte (Regular),2,4.0,05/29/20 14:00
40296,Tea (Earl Grey),1,1.75,05/29/20 03:28
40297,Japanese Rolled Cake (Slice - Chocolate),1,4.0,05/12/20 03:53
40297,Latte (Matcha),1,4.75,05/12/20 03:53
40298,Original Croquette,1,3.0,05/21/20 08:36
40299,Tea (Rose),1,2.0,05/10/20 06:26
40300,Japanese Cheesecake (Full - Matcha),1,12.0,05/15/20 07:00
40301,Donut (Matcha),1,2.5,05/03/20 03:50
40302,Macaroon (Matcha),1,3.0,05/02/20 08:43
40303,Japanese Cheesecake (Slice - Matcha),3,4.0,05/23/20 03:39
40304,Green Tea Banana Bread (Slice),1,1.75,05/25/20 13:13
40305,Japanese Cheesecake (Full - Matcha),1,12.0,05/09/20 06:48
40306,Dalgona Coffee (Strawberry - Hot),2,3.0,05/13/20 10:09
40307,Japanese Rolled Cake (Roll - Matcha),1,12.0,05/05/20 09:33
40307,Dalgona Coffee (Matcha - Hot),1,3.0,05/05/20 09:33
40308,Latte (Rose),1,4.75,05/30/20 05:50
40309,Tea (Sakura),2,2.0,05/01/20 06:30
40310,Peach Yakult Refresher,1,4.75,05/12/20 11:27
40311,Japanese Rolled Cake (Roll - Original),1,12.0,05/29/20 04:33
40312,Dalgona Coffee (Chocolate - Hot),1,3.0,05/24/20 06:08
40313,Tea (Rose),2,2.0,05/03/20 06:52
40314,Special Japanese Pork Cutlet Lunch Set,1,12.0,05/21/20 08:09
40315,Macaroon (Earl Grey),1,3.0,05/04/20 07:02
40316,Milk Bread (Slice),1,1.25,05/27/20 12:59
40317,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/08/20 09:33
40318,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/09/20 11:58
40319,Latte (Matcha),1,4.75,05/11/20 05:20
40320,Mini Cheese Tart (Matcha),1,3.75,05/12/20 04:52
40320,Latte (Rose),1,4.75,05/12/20 04:52
40321,Green Tea Banana Bread (Loaf),1,4.75,05/15/20 10:49
40321,Green Tea Yakult Refresher,1,5.0,05/15/20 10:49
40322,Macaroon (Pistachio),1,3.0,05/12/20 07:04
40322,Mango Yakult Refresher,1,4.75,05/12/20 07:04
40323,Dalgona Coffee (Matcha - Cold),1,3.25,05/19/20 08:31
40324,Special Bulgogi Lunch Set,1,12.5,05/21/20 12:51
40325,Donut (Ube),1,2.5,05/03/20 04:15
40326,Dalgona Coffee (Chocolate - Hot),1,3.0,05/24/20 07:07
40327,Japanese Cheesecake (Slice - Original),1,3.75,05/25/20 09:58
40328,Macaroon (Vietnamese Coffee),1,3.0,05/20/20 06:51
40329,Donut (Red Bean),1,2.5,05/21/20 06:41
40330,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/28/20 10:33
40331,Green Tea Banana Bread (Slice),1,1.75,05/19/20 10:47
40331,Green Tea Yakult Refresher,1,5.0,05/19/20 10:47
40332,Macaroon (Matcha),2,3.0,05/10/20 10:12
40332,Latte (Regular),1,4.0,05/10/20 10:12
40333,Macaroon (Matcha),1,3.0,05/02/20 08:40
40333,Peach Yakult Refresher,1,4.75,05/02/20 08:40
40334,Special Vegetarian Curry Lunch Set,1,15.0,05/07/20 06:57
40335,Tea (Green Tea),1,1.75,05/18/20 05:42
40336,Japanese Rolled Cake (Slice - Original),1,4.0,05/31/20 07:04
40337,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/19/20 11:53
40338,Japanese Cheesecake (Full - Original),1,11.75,05/25/20 08:35
40339,Green Tea Yakult Refresher,1,5.0,05/14/20 09:29
40340,Latte (Caramel),1,4.25,05/30/20 08:22
40341,Macaroon (Mango),2,3.0,05/13/20 02:54
40341,Mango Yakult Refresher,1,4.75,05/13/20 02:54
40342,Japanese Rolled Cake (Slice - Matcha),2,4.0,05/12/20 05:58
40342,Tea (Sakura),1,2.0,05/12/20 05:58
40343,Green Tea Yakult Refresher,1,5.0,05/31/20 09:49
40344,Macaroon (Pistachio),1,3.0,05/17/20 10:26
40345,Milk Bread (Slice),6,1.25,05/09/20 09:17
40346,Dalgona Coffee (Matcha - Hot),1,3.0,05/03/20 06:03
40347,Americano (Hot),1,3.5,05/23/20 12:40
40348,Dalgona Coffee (Strawberry - Cold),1,3.25,05/06/20 05:43
40349,Latte (Caramel),1,4.25,05/15/20 11:40
40350,Original Croquette,1,3.0,05/08/20 09:56
40351,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,05/05/20 09:24
40352,Japanese Rolled Cake (Slice - Original),1,4.0,05/11/20 07:02
40353,Latte (Matcha),4,4.75,05/26/20 08:01
40354,Original Croquette,1,3.0,05/23/20 07:40
40355,Macaroon (Pandan Coconut),1,3.0,05/06/20 06:11
40356,Mini Cheese Tart (Orginal),2,3.75,05/03/20 08:51
40357,Latte (Caramel),2,4.25,05/07/20 09:30
40358,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,05/26/20 12:27
40359,Original Croquette,1,3.0,05/23/20 10:46
40360,Japanese Rolled Cake (Roll - Original),1,12.0,05/08/20 06:21
40361,Portguese Tart Egg Tarts (6),1,11.0,05/30/20 05:57
40362,Japanese Rolled Cake (Roll - Original),1,12.0,05/03/20 09:22
40363,Macaroon (Mango),1,3.0,05/29/20 10:53
40363,Latte (Rose),1,4.75,05/29/20 10:53
40364,Special Vegetarian Curry Lunch Set,1,15.0,05/28/20 09:27
40365,Green Tea Bun,1,2.75,05/24/20 05:52
40365,Tea (Sakura),4,2.0,05/24/20 05:52
40366,Donut (Ube),2,2.5,05/13/20 09:09
40367,Coffee (Iced),1,2.5,05/06/20 11:42
40368,Bulgogi Bun,2,2.75,05/23/20 12:09
40369,Dalgona Coffee (Chocolate - Hot),1,3.0,05/12/20 11:59
40370,Tea (Lavender),5,2.0,05/02/20 05:04
40371,Macaroon (Vietnamese Coffee),1,3.0,05/13/20 06:16
40372,Donut (Matcha),1,2.5,05/19/20 07:00
40373,Macaroon (Matcha),1,3.0,05/17/20 08:15
40373,Green Tea Yakult Refresher,2,5.0,05/17/20 08:15
40374,Macaroon (Vanilla),1,2.75,05/16/20 10:46
40375,Green Tea Banana Bread (Loaf),1,4.75,05/12/20 15:14
40376,Mini Cheese Tart (Chocolate),2,3.75,05/01/20 07:50
40376,Tea (Earl Grey),2,1.75,05/01/20 07:50
40377,Dalgona Coffee (Matcha - Hot),1,3.0,05/28/20 10:42
40378,Latte (Matcha),1,4.75,05/22/20 12:21
40379,Green Tea Banana Bread (Loaf),1,4.75,05/12/20 16:01
40380,Dalgona Coffee (Original - Cold),2,3.0,05/25/20 06:40
40381,Dalgona Coffee (Strawberry - Hot),1,3.0,05/27/20 11:08
40382,Macaroon (Vietnamese Coffee),1,3.0,05/11/20 05:47
40383,Japanese Rolled Cake (Roll - Original),1,12.0,05/15/20 09:11
40384,Milk Bread (Slice),2,1.25,05/28/20 06:19
40385,Dalgona Coffee (Original - Cold),1,3.0,05/08/20 03:38
40386,Tea (Rose),2,2.0,05/26/20 18:18
40387,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/14/20 03:20
40388,Macaroon (Vanilla),3,2.75,05/25/20 11:27
40389,Macaroon (Strawberry),1,2.75,05/31/20 01:22
40389,Tea (Rose),3,2.0,05/31/20 01:22
40390,Americano (Iced),2,3.5,05/04/20 06:59
40391,Dalgona Coffee (Original - Hot),1,2.75,05/01/20 07:49
40392,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,05/03/20 13:08
40393,Bulgogi Bun,1,2.75,05/16/20 08:55
40394,Dalgona Coffee (Matcha - Hot),1,3.0,05/16/20 08:35
40395,Red Bean Bun,2,2.75,05/09/20 06:21
40395,Peach Yakult Refresher,1,4.75,05/09/20 06:21
40396,Mini Cheese Tart (Chocolate),1,3.75,05/30/20 06:39
40397,Latte (Rose),1,4.75,05/23/20 08:29
40398,Japanese Cheesecake (Full - Original),1,11.75,05/24/20 08:01
40399,Japanese Rolled Cake (Roll - Matcha),1,12.0,05/15/20 10:40
40400,Macaroon (Mango),1,3.0,05/31/20 07:14
40401,Macaroon (Lavender),1,3.0,05/18/20 08:33
40402,Latte (Sakura),2,4.75,05/20/20 07:18
40403,Macaroon (Pistachio),1,3.0,05/12/20 10:25
40404,Peach Yakult Refresher,1,4.75,05/10/20 10:34
40405,Americano (Iced),2,3.5,05/11/20 06:29
40406,Dalgona Coffee (Matcha - Hot),1,3.0,05/30/20 09:28
40407,Mango Yakult Refresher,1,4.75,05/24/20 11:25
40408,Japanese Rolled Cake (Slice - Matcha),2,4.0,05/16/20 07:28
40409,Dalgona Coffee (Matcha - Hot),1,3.0,05/15/20 08:31
40410,Macaroon (Matcha),5,3.0,05/28/20 11:18
40411,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/09/20 02:54
40412,Japanese Rolled Cake (Slice - Original),2,4.0,05/24/20 08:42
40413,Macaroon (Strawberry),5,2.75,05/10/20 10:05
40414,Portguese Tart Egg Tarts (6),1,11.0,05/27/20 07:33
40414,Tea (Lavender),1,2.0,05/27/20 07:33
40415,Special Japanese Pork Cutlet Lunch Set,1,12.0,05/11/20 14:33
40416,Macaroon (Green Tea),1,3.0,05/17/20 11:05
40416,Latte (Rose),3,4.75,05/17/20 11:05
40417,Dalgona Coffee (Original - Cold),1,3.0,05/02/20 15:28
40418,Latte (Matcha),1,4.75,05/28/20 04:37
40419,Macaroon (Lavender),1,3.0,05/24/20 07:38
40419,Coffee (Hot),1,2.25,05/24/20 07:38
40420,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/08/20 10:38
40421,Japanese Rolled Cake (Slice - Ube),1,4.0,05/27/20 12:51
40421,Dalgona Coffee (Strawberry - Hot),1,3.0,05/27/20 12:51
40422,Latte (Rose),1,4.75,05/08/20 04:19
40423,Latte (Sakura),1,4.75,05/01/20 07:18
40424,Japanese Cheesecake (Full - Matcha),1,12.0,05/21/20 11:37
40425,Green Tea Bun,1,2.75,05/21/20 02:18
40426,Coffee (Hot),1,2.25,05/28/20 10:42
40427,Original Croquette,1,3.0,05/22/20 13:25
40428,Macaroon (Chocolate),2,2.75,05/26/20 05:52
40429,Japanese Rolled Cake (Roll - Original),1,12.0,05/28/20 10:50
40429,Coffee (Hot),1,2.25,05/28/20 10:50
40430,Dalgona Coffee (Strawberry - Hot),1,3.0,05/23/20 10:32
40431,Dalgona Coffee (Chocolate - Cold),1,3.25,05/06/20 10:23
40432,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/06/20 05:11
40433,Macaroon (Pandan Coconut),3,3.0,05/08/20 09:04
40433,Latte (Sakura),1,4.75,05/08/20 09:04
40434,Japanese Rolled Cake (Slice - Matcha),2,4.0,05/03/20 05:50
40434,Dalgona Coffee (Chocolate - Cold),1,3.25,05/03/20 05:50
40435,Macaroon (Strawberry),1,2.75,05/10/20 08:48
40436,Mango Yakult Refresher,2,4.75,05/25/20 11:49
40437,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/15/20 09:16
40438,Special Japanese Pork Cutlet Lunch Set,1,12.0,05/01/20 11:23
40439,Green Tea Banana Bread (Loaf),1,4.75,05/30/20 05:40
40440,Americano (Iced),1,3.5,05/06/20 09:46
40441,Macaroon (Pandan Coconut),1,3.0,05/15/20 06:08
40441,Latte (Matcha),1,4.75,05/15/20 06:08
40442,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/08/20 10:08
40443,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,05/08/20 09:41
40444,Japanese Rolled Cake (Roll - Original),1,12.0,05/31/20 11:33
40445,Portguese Tart Egg Tarts (6),1,11.0,05/26/20 09:53
40446,Red Bean Bun,1,2.75,05/16/20 11:58
40447,Peach Yakult Refresher,1,4.75,05/21/20 10:13
40448,Macaroon (Pistachio),1,3.0,05/27/20 07:00
40449,Fruit Sando (Japanese Fruit Sando),1,4.5,05/19/20 10:32
40450,Dalgona Coffee (Matcha - Cold),1,3.25,05/08/20 05:36
40451,Latte (Regular),1,4.0,05/18/20 07:18
40452,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/22/20 12:29
40453,Donut (Matcha),3,2.5,05/30/20 09:50
40454,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/21/20 09:02
40455,Macaroon (Vanilla),2,2.75,05/23/20 11:20
40455,Latte (Matcha),1,4.75,05/23/20 11:20
40456,Coffee (Hot),1,2.25,05/24/20 11:52
40457,Green Tea Banana Bread (Slice),2,1.75,05/11/20 06:12
40458,Dalgona Coffee (Original - Cold),2,3.0,05/03/20 12:57
40459,Coffee (Iced),2,2.5,05/19/20 11:40
40460,Milk Bread (Loaf),1,4.5,05/10/20 09:35
