Order ID,Product,Quantity Ordered,Price Each,Order Date
115334,Japanese Rolled Cake (Roll - Chocolate),1,12.0,11/20/20 05:45
115335,Japanese Cheesecake (Full - Original),1,11.75,11/11/20 10:50
115336,Macaroon (Pistachio),1,3.0,11/13/20 08:53
115336,Green Tea Yakult Refresher,1,5.0,11/13/20 08:53
115337,Original Croquette,1,3.0,11/28/20 09:58
115338,Donut (Red Bean),1,2.5,11/28/20 02:43
115339,Americano (Hot),1,3.5,11/03/20 13:14
115340,Macaroon (Matcha),1,3.0,11/30/20 07:36
115340,Tea (Rose),1,2.0,11/30/20 07:36
115341,Macaroon (Pistachio),1,3.0,11/16/20 12:39
115341,Coffee (Iced),3,2.5,11/16/20 12:39
115342,Tamago Sando (Japanese Egg Sandwich),1,4.5,11/05/20 11:13
115343,Latte (Caramel),1,4.25,11/18/20 13:40
115344,Green Tea Yakult Refresher,2,5.0,11/17/20 07:38
115345,Japanese Rolled Cake (Slice - Original),2,4.0,11/23/20 09:29
115345,Mango Yakult Refresher,1,4.75,11/23/20 09:29
115346,Tea (Sakura),2,2.0,11/08/20 06:42
115347,Dalgona Coffee (Original - Hot),1,2.75,11/03/20 09:29
115348,Dalgona Coffee (Original - Cold),2,3.0,11/07/20 05:35
115349,Japanese Cheesecake (Slice - Matcha),1,4.0,11/21/20 10:05
115350,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,11/09/20 10:48
115350,Mango Yakult Refresher,2,4.75,11/09/20 10:48
115351,Red Bean Bun,1,2.75,11/30/20 03:40
115352,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,11/29/20 10:43
115353,Fruit Sando (Japanese Fruit Sando),1,4.5,11/18/20 08:44
115354,Tea (Sakura),1,2.0,11/13/20 06:25
115355,Macaroon (Earl Grey),1,3.0,11/11/20 12:59
115355,Coffee (Iced),1,2.5,11/11/20 12:59
115356,Dalgona Coffee (Chocolate - Hot),1,3.0,11/23/20 07:20
115357,Macaroon (Pistachio),2,3.0,11/23/20 09:19
115358,Japanese Cheesecake (Full - Matcha),1,12.0,11/27/20 10:39
115359,Dalgona Coffee (Chocolate - Hot),2,3.0,11/14/20 14:15
115360,Coffee (Iced),2,2.5,11/13/20 04:36
115361,Milk Bread (Slice),3,1.25,11/09/20 06:46
115362,Macaroon (Matcha),4,3.0,11/18/20 06:53
115363,Original Croquette,1,3.0,11/06/20 09:32
115364,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,11/20/20 09:15
115365,Tea (Rose),2,2.0,11/04/20 06:11
115366,Japanese Rolled Cake (Roll - Original),1,12.0,11/17/20 04:52
115366,Dalgona Coffee (Chocolate - Cold),1,3.25,11/17/20 04:52
115367,Original Croquette,2,3.0,11/14/20 09:06
115368,Mango Yakult Refresher,1,4.75,11/23/20 12:17
115369,Japanese Rolled Cake (Slice - Matcha),1,4.0,11/19/20 04:56
115369,Tea (Lavender),1,2.0,11/19/20 04:56
115370,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,11/11/20 06:23
115371,Japanese Cheesecake (Slice - Matcha),1,4.0,11/10/20 10:41
115372,Mango Yakult Refresher,2,4.75,11/19/20 15:52
115373,Portguese Tart Egg Tarts (6),1,11.0,11/16/20 11:43
115374,Donut (Red Bean),1,2.5,11/27/20 13:02
115375,Latte (Regular),2,4.0,11/22/20 12:04
115376,Bulgogi Bun,3,2.75,11/27/20 06:34
115377,Latte (Matcha),1,4.75,11/26/20 14:00
115378,Japanese Cheesecake (Slice - Original),2,3.75,11/12/20 06:01
115379,Dalgona Coffee (Chocolate - Cold),1,3.25,11/08/20 04:51
115380,Green Tea Yakult Refresher,2,5.0,11/08/20 10:20
115381,Donut (Matcha),2,2.5,11/01/20 09:10
115382,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,11/11/20 09:37
115383,Macaroon (Matcha),1,3.0,11/01/20 12:50
115384,Donut (Matcha),4,2.5,11/08/20 07:44
115384,Dalgona Coffee (Chocolate - Hot),1,3.0,11/08/20 07:44
115385,Dalgona Coffee (Matcha - Hot),1,3.0,11/02/20 09:28
115386,Americano (Iced),2,3.5,11/06/20 08:01
115387,Portguese Tart Egg Tarts (6),1,11.0,11/04/20 09:56
115387,Latte (Rose),2,4.75,11/04/20 09:56
115388,Donut (Matcha),1,2.5,11/25/20 10:45
115389,Macaroon (Black Seasame),1,3.0,11/03/20 09:46
115389,Latte (Caramel),1,4.25,11/03/20 09:46
115390,Latte (Sakura),2,4.75,11/15/20 08:53
115391,Americano (Iced),2,3.5,11/19/20 10:18
115392,Tea (Green Tea),2,1.75,11/30/20 05:42
115393,Dalgona Coffee (Strawberry - Cold),1,3.25,11/05/20 10:46
115394,Donut (Ube),2,2.5,11/07/20 06:09
115394,Green Tea Yakult Refresher,1,5.0,11/07/20 06:09
115395,Americano (Hot),1,3.5,11/26/20 06:15
115396,Latte (Matcha),1,4.75,11/19/20 11:23
115397,Dalgona Coffee (Strawberry - Cold),1,3.25,11/15/20 04:20
115398,Bulgogi Bun,1,2.75,11/15/20 09:06
115399,Portguese Tart Egg Tarts (Single),1,2.0,11/18/20 10:56
115400,Red Bean Bun,1,2.75,11/08/20 10:17
115400,Latte (Caramel),1,4.25,11/08/20 10:17
115401,Japanese Cheesecake (Full - Matcha),2,12.0,11/15/20 05:46
115402,Dalgona Coffee (Original - Cold),2,3.0,11/04/20 10:11
115403,Special Vegetarian Curry Lunch Set,1,15.0,11/28/20 11:54
115404,Portguese Tart Egg Tarts (6),1,11.0,11/10/20 08:28
115404,Dalgona Coffee (Strawberry - Hot),3,3.0,11/10/20 08:28
115405,Macaroon (Chocolate),1,2.75,11/19/20 11:35
115406,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,11/20/20 09:29
115407,Americano (Hot),2,3.5,11/27/20 07:12
115408,Tamago Sando (Japanese Egg Sandwich),2,4.5,11/01/20 09:23
115409,Mango Yakult Refresher,1,4.75,11/09/20 10:26
115410,Dalgona Coffee (Strawberry - Cold),2,3.25,11/02/20 07:57
115411,Latte (Matcha),2,4.75,11/22/20 16:09
115412,Japanese Rolled Cake (Slice - Matcha),2,4.0,11/02/20 07:29
115413,Japanese Rolled Cake (Slice - Chocolate),1,4.0,11/06/20 07:31
115413,Americano (Hot),1,3.5,11/06/20 07:31
115414,Green Tea Banana Bread (Slice),1,1.75,11/21/20 05:23
115414,Dalgona Coffee (Chocolate - Hot),1,3.0,11/21/20 05:23
115415,Portguese Tart Egg Tarts (Single),3,2.0,11/25/20 06:14
115416,Green Tea Banana Bread (Slice),1,1.75,11/03/20 08:18
115417,Japanese Cheesecake (Full - Original),1,11.75,11/01/20 12:57
115418,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,11/05/20 07:04
115418,Coffee (Hot),1,2.25,11/05/20 07:04
115419,Macaroon (Black Seasame),1,3.0,11/27/20 10:11
115420,Japanese Rolled Cake (Roll - Original),1,12.0,11/01/20 07:26
115421,Macaroon (Chocolate),3,2.75,11/08/20 07:20
115421,Latte (Rose),1,4.75,11/08/20 07:20
115422,Japanese Rolled Cake (Slice - Original),1,4.0,11/09/20 08:46
115423,Latte (Rose),1,4.75,11/04/20 11:44
