Order ID,Product,Quantity Ordered,Price Each,Order Date
101042,Donut (Matcha),1,2.5,09/05/20 11:24
101043,Special Vegetarian Curry Lunch Set,1,15.0,09/07/20 07:00
101044,Coffee (Iced),2,2.5,09/21/20 08:51
101045,Green Tea Banana Bread (Loaf),1,4.75,09/17/20 10:24
101046,Special Vegetarian Curry Lunch Set,1,15.0,09/12/20 02:47
101047,Tea (Earl Grey),4,1.75,09/23/20 05:15
101048,Latte (Caramel),1,4.25,09/08/20 09:21
101049,Tea (Sakura),1,2.0,09/12/20 13:56
101050,Donut (Red Bean),2,2.5,09/18/20 10:32
101051,Macaroon (Pandan Coconut),2,3.0,09/23/20 09:09
101052,Donut (Red Bean),1,2.5,09/22/20 12:30
101053,Special Japanese Pork Cutlet Lunch Set,1,12.0,09/04/20 09:38
101054,Tea (Sakura),1,2.0,09/25/20 06:26
101055,Tea (Rose),1,2.0,09/25/20 13:41
101056,Donut (Matcha),1,2.5,09/14/20 07:30
101056,Coffee (Iced),2,2.5,09/14/20 07:30
101057,Donut (Red Bean),2,2.5,09/21/20 13:29
101058,Latte (Rose),1,4.75,09/09/20 14:56
101059,Tea (Rose),2,2.0,09/02/20 11:16
101060,Americano (Hot),1,3.5,09/03/20 07:55
101061,Dalgona Coffee (Matcha - Cold),1,3.25,09/28/20 06:51
101062,Tea (Rose),2,2.0,09/01/20 10:14
101063,Portguese Tart Egg Tarts (6),1,11.0,09/04/20 05:32
101064,Japanese Rolled Cake (Slice - Chocolate),1,4.0,09/13/20 12:25
101065,Japanese Rolled Cake (Slice - Original),1,4.0,09/11/20 04:52
101066,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,09/20/20 10:22
101067,Tea (Rose),1,2.0,09/03/20 08:07
101068,Dalgona Coffee (Original - Hot),1,2.75,09/17/20 11:44
101069,Japanese Rolled Cake (Roll - Matcha),1,12.0,09/21/20 06:54
101070,Donut (Matcha),1,2.5,09/22/20 06:40
101070,Mango Yakult Refresher,1,4.75,09/22/20 06:40
101071,Dalgona Coffee (Strawberry - Cold),1,3.25,09/10/20 05:26
101072,Tea (Earl Grey),1,1.75,09/11/20 08:32
101073,Dalgona Coffee (Original - Hot),1,2.75,09/23/20 13:38
101074,Japanese Cheesecake (Full - Matcha),1,12.0,09/04/20 08:00
101075,Americano (Hot),1,3.5,09/23/20 09:40
101076,Tea (Sakura),3,2.0,09/24/20 08:56
101077,Macaroon (Vietnamese Coffee),1,3.0,09/24/20 11:53
101078,Japanese Rolled Cake (Slice - Original),2,4.0,09/29/20 09:16
101079,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,09/23/20 11:03
101080,Americano (Hot),1,3.5,09/26/20 05:08
101081,Green Tea Banana Bread (Slice),7,1.75,09/17/20 14:12
101082,Donut (Ube),3,2.5,09/24/20 07:19
101083,Macaroon (Strawberry),2,2.75,09/03/20 10:45
101084,Japanese Rolled Cake (Roll - Ube),2,12.0,09/07/20 08:50
101085,Japanese Cheesecake (Full - Original),1,11.75,09/17/20 07:22
101086,Japanese Cheesecake (Slice - Original),2,3.75,09/10/20 07:04
101087,Japanese Cheesecake (Full - Original),2,11.75,09/02/20 14:58
101088,Japanese Rolled Cake (Slice - Original),1,4.0,09/22/20 12:43
101088,Latte (Caramel),1,4.25,09/22/20 12:43
101089,Coffee (Hot),3,2.25,09/25/20 07:45
101090,Japanese Rolled Cake (Roll - Chocolate),1,12.0,09/19/20 06:17
101091,Latte (Regular),1,4.0,09/10/20 09:09
101092,Tea (Rose),1,2.0,09/10/20 08:38
