Order ID,Product,Quantity Ordered,Price Each,Order Date
39113,Tea (Sakura),1,2.0,04/24/20 12:47
39114,Tamago Sando (Japanese Egg Sandwich),1,4.5,04/02/20 05:26
39115,Macaroon (Earl Grey),1,3.0,04/21/20 07:51
39116,Red Bean Bun,1,2.75,04/17/20 09:15
39116,Dalgona Coffee (Chocolate - Hot),1,3.0,04/17/20 09:15
39117,Macaroon (Pistachio),1,3.0,04/15/20 08:17
39118,Donut (Matcha),1,2.5,04/05/20 06:22
39119,Macaroon (Pistachio),4,3.0,04/11/20 11:58
39120,Latte (Rose),1,4.75,04/07/20 07:00
39121,Donut (Matcha),1,2.5,04/10/20 05:30
39122,Coffee (Iced),1,2.5,04/13/20 07:06
39123,Macaroon (Vietnamese Coffee),1,3.0,04/03/20 07:39
39124,Japanese Rolled Cake (Slice - Matcha),1,4.0,04/25/20 11:44
39125,Green Tea Yakult Refresher,1,5.0,04/30/20 04:50
39126,Dalgona Coffee (Original - Hot),1,2.75,04/16/20 08:07
39127,Japanese Rolled Cake (Slice - Chocolate),1,4.0,04/04/20 11:34
39127,Peach Yakult Refresher,3,4.75,04/04/20 11:34
39128,Dalgona Coffee (Matcha - Hot),1,3.0,04/21/20 06:39
39129,Green Tea Yakult Refresher,1,5.0,04/26/20 14:56
39130,Macaroon (Black Seasame),3,3.0,04/08/20 05:43
39131,Macaroon (Chocolate),3,2.75,04/28/20 10:44
39132,Japanese Rolled Cake (Roll - Original),1,12.0,04/05/20 03:58
39133,Special Japanese Pork Cutlet Set,1,12.0,04/26/20 11:36
39134,Portguese Tart Egg Tarts (Single),2,2.0,04/21/20 10:29
39135,Latte (Matcha),1,4.75,04/19/20 07:17
39136,Dalgona Coffee (Original - Hot),4,2.75,04/15/20 06:30
39137,Macaroon (Chocolate),1,2.75,04/19/20 10:48
39137,Dalgona Coffee (Original - Cold),1,3.0,04/19/20 10:48
39138,Green Tea Bun,2,2.75,04/02/20 06:47
39138,Tea (Sakura),2,2.0,04/02/20 06:47
39139,Donut (Red Bean),1,2.5,04/19/20 07:49
39140,Green Tea Banana Bread (Loaf),1,4.75,04/18/20 11:09
39141,Milk Bread (Loaf),2,4.5,04/23/20 03:40
39142,Macaroon (Earl Grey),1,3.0,04/14/20 04:06
39143,Macaroon (Vanilla),2,2.75,04/24/20 11:12
39144,Donut (Matcha),2,2.5,04/29/20 13:00
39144,Americano (Hot),4,3.5,04/29/20 13:00
39145,Macaroon (Mango),2,3.0,04/05/20 08:53
39146,Original Croquette,1,3.0,04/30/20 11:14
39147,Portguese Tart Egg Tarts (6),1,11.0,04/08/20 08:08
39148,Japanese Rolled Cake (Slice - Matcha),4,4.0,04/10/20 06:54
39149,Milk Bread (Loaf),1,4.5,04/06/20 08:41
39150,Americano (Hot),1,3.5,04/28/20 07:00
39151,Macaroon (Green Tea),1,3.0,04/26/20 09:56
39152,Latte (Regular),1,4.0,04/20/20 05:22
39153,Latte (Caramel),2,4.25,04/20/20 14:02
39154,Donut (Matcha),1,2.5,04/25/20 05:55
39155,Tamago Sando (Japanese Egg Sandwich),2,4.5,04/07/20 07:56
39156,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,04/14/20 09:21
39157,Milk Bread (Loaf),1,4.5,04/10/20 09:59
39158,Latte (Matcha),1,4.75,04/25/20 11:15
39159,Donut (Ube),4,2.5,04/26/20 09:57
39159,Tea (Sakura),1,2.0,04/26/20 09:57
39160,Japanese Rolled Cake (Roll - Ube),1,12.0,04/07/20 11:30
39161,Latte (Rose),1,4.75,04/14/20 11:49
39162,Americano (Hot),2,3.5,04/14/20 06:42
39163,Japanese Rolled Cake (Slice - Matcha),1,4.0,04/13/20 10:56
39164,Japanese Cheesecake (Full - Original),1,11.75,04/08/20 08:40
39165,Mango Yakult Refresher,1,4.75,04/05/20 07:14
39166,Macaroon (Vanilla),2,2.75,04/09/20 09:13
39167,Special Bulgogi Set,1,12.5,04/02/20 08:34
39168,Dalgona Coffee (Strawberry - Hot),2,3.0,04/04/20 06:24
39169,Japanese Cheesecake (Slice - Original),1,3.75,04/29/20 11:23
39169,Latte (Rose),1,4.75,04/29/20 11:23
39170,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,04/21/20 14:07
39171,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,04/26/20 07:58
39172,Americano (Hot),1,3.5,04/25/20 03:35
39173,Japanese Rolled Cake (Roll - Ube),1,12.0,04/29/20 12:33
39174,Dalgona Coffee (Matcha - Cold),1,3.25,04/19/20 11:29
39175,Dalgona Coffee (Original - Hot),1,2.75,04/04/20 08:03
39176,Dalgona Coffee (Strawberry - Hot),5,3.0,04/08/20 07:24
39177,Tea (Sakura),3,2.0,04/28/20 06:58
39178,Dalgona Coffee (Chocolate - Cold),1,3.25,04/19/20 14:31
39179,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,04/22/20 08:43
39180,Portguese Tart Egg Tarts (Single),1,2.0,04/12/20 05:37
39181,Macaroon (Mango),1,3.0,04/18/20 05:28
39182,Original Croquette,1,3.0,04/17/20 12:05
39183,Japanese Rolled Cake (Roll - Chocolate),1,12.0,04/12/20 06:20
39184,Green Tea Bun,1,2.75,04/30/20 05:15
39184,Tea (Lavender),1,2.0,04/30/20 05:15
39185,Latte (Matcha),2,4.75,04/21/20 07:48
39186,Special Bulgogi Set,1,12.5,04/09/20 09:21
39187,Katsu Sando (Cripsy Chicken Katsu Sandwich),2,7.5,04/09/20 07:11
39188,Japanese Rolled Cake (Slice - Matcha),2,4.0,04/29/20 10:13
39188,Coffee (Iced),1,2.5,04/29/20 10:13
39189,Japanese Rolled Cake (Roll - Original),1,12.0,04/05/20 06:46
39190,Dalgona Coffee (Matcha - Hot),1,3.0,04/09/20 04:25
39191,Bulgogi Bun,1,2.75,04/18/20 10:46
39192,Macaroon (Strawberry),1,2.75,04/20/20 08:28
39193,Japanese Cheesecake (Full - Original),2,11.75,04/23/20 07:19
39194,Macaroon (Earl Grey),1,3.0,04/08/20 13:48
39195,Latte (Caramel),1,4.25,04/29/20 10:49
39196,Latte (Caramel),1,4.25,04/16/20 04:01
39197,Donut (Red Bean),2,2.5,04/05/20 10:29
39197,Green Tea Yakult Refresher,1,5.0,04/05/20 10:29
39198,Donut (Matcha),1,2.5,04/06/20 05:58
39198,Tea (Sakura),1,2.0,04/06/20 05:58
39199,Mango Yakult Refresher,2,4.75,04/22/20 05:29
39200,Latte (Matcha),1,4.75,04/07/20 08:42
39201,Green Tea Banana Bread (Slice),2,1.75,04/30/20 10:37
39201,Dalgona Coffee (Chocolate - Cold),1,3.25,04/30/20 10:37
39202,Dalgona Coffee (Chocolate - Hot),1,3.0,04/24/20 08:47
39203,Mango Yakult Refresher,1,4.75,04/10/20 05:40
39204,Green Tea Banana Bread (Loaf),1,4.75,04/30/20 06:41
39205,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,04/22/20 07:19
39205,Peach Yakult Refresher,1,4.75,04/22/20 07:19
39206,Japanese Rolled Cake (Roll - Original),1,12.0,04/06/20 13:11
39207,Red Bean Bun,3,2.75,04/15/20 08:42
39208,Japanese Cheesecake (Slice - Matcha),1,4.0,04/06/20 08:04
39209,Peach Yakult Refresher,1,4.75,04/19/20 10:44
39210,Fruit Sando (Japanese Fruit Sando),1,4.5,04/02/20 09:33
39211,Japanese Cheesecake (Full - Matcha),1,12.0,04/18/20 06:45
39212,Latte (Sakura),1,4.75,04/26/20 06:56
39213,Portguese Tart Egg Tarts (Single),3,2.0,04/19/20 04:38
39213,Dalgona Coffee (Strawberry - Hot),1,3.0,04/19/20 04:38
39214,Macaroon (Vanilla),2,2.75,04/18/20 10:38
39214,Mango Yakult Refresher,1,4.75,04/18/20 10:38
39215,Japanese Cheesecake (Slice - Matcha),1,4.0,04/29/20 09:51
39216,Dalgona Coffee (Original - Cold),3,3.0,04/06/20 08:03
39217,Dalgona Coffee (Original - Cold),3,3.0,04/03/20 06:15
39218,Original Croquette,2,3.0,04/13/20 07:39
39219,Green Tea Banana Bread (Loaf),1,4.75,04/11/20 09:59
39220,Peach Yakult Refresher,1,4.75,04/10/20 09:48
39221,Americano (Hot),1,3.5,04/18/20 09:39
39222,Japanese Rolled Cake (Roll - Ube),1,12.0,04/20/20 12:45
39223,Macaroon (Chocolate),1,2.75,04/01/20 11:38
39224,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,04/13/20 07:38
39225,Tea (Lavender),2,2.0,04/08/20 09:48
39226,Dalgona Coffee (Original - Cold),2,3.0,04/05/20 06:26
39227,Green Tea Banana Bread (Loaf),1,4.75,04/19/20 10:11
39228,Tea (Earl Grey),3,1.75,04/13/20 04:12
39229,Japanese Rolled Cake (Slice - Chocolate),1,4.0,04/14/20 08:57
39230,Japanese Rolled Cake (Roll - Matcha),1,12.0,04/20/20 05:22
39231,Dalgona Coffee (Original - Hot),1,2.75,04/05/20 08:02
39232,Macaroon (Pandan Coconut),2,3.0,04/02/20 07:47
39233,Macaroon (Pistachio),1,3.0,04/16/20 07:12
39234,Macaroon (Vanilla),1,2.75,04/28/20 06:40
39235,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,04/14/20 05:26
39236,Donut (Matcha),2,2.5,04/13/20 05:32
39237,Special Bulgogi Set,1,12.5,04/11/20 07:57
39238,Green Tea Bun,1,2.75,04/11/20 10:16
39239,Macaroon (Mango),1,3.0,04/21/20 08:37
39240,Bulgogi Bun,2,2.75,04/15/20 05:52
39241,Latte (Matcha),1,4.75,04/21/20 07:40
39242,Portguese Tart Egg Tarts (6),1,11.0,04/11/20 12:35
39243,Mango Yakult Refresher,1,4.75,04/07/20 10:28
39244,Fruit Sando (Japanese Fruit Sando),2,4.5,04/22/20 08:37
39245,Mini Cheese Tart (Chocolate),1,3.75,04/15/20 05:16
39246,Macaroon (Chocolate),1,2.75,04/20/20 14:48
39247,Macaroon (Earl Grey),1,3.0,04/30/20 07:58
39247,Coffee (Iced),2,2.5,04/30/20 07:58
39248,Macaroon (Lavender),2,3.0,04/15/20 05:27
39248,Dalgona Coffee (Strawberry - Hot),1,3.0,04/15/20 05:27
39249,Macaroon Set (6),1,15.0,04/12/20 08:11
39250,Dalgona Coffee (Strawberry - Cold),2,3.25,04/07/20 09:15
39251,Macaroon (Strawberry),1,2.75,04/03/20 08:57
39251,Tea (Sakura),1,2.0,04/03/20 08:57
39252,Macaroon (Vietnamese Coffee),2,3.0,04/19/20 06:21
39253,Macaroon (Pandan Coconut),2,3.0,04/02/20 05:21
39253,Green Tea Yakult Refresher,2,5.0,04/02/20 05:21
39254,Bulgogi Bun,3,2.75,04/28/20 12:01
39255,Americano (Iced),1,3.5,04/20/20 09:58
39256,Macaroon (Pistachio),2,3.0,04/19/20 11:35
39257,Dalgona Coffee (Strawberry - Hot),1,3.0,04/26/20 08:36
39258,Dalgona Coffee (Matcha - Hot),1,3.0,04/10/20 06:18
39259,Japanese Cheesecake (Slice - Matcha),1,4.0,04/05/20 10:38
39259,Americano (Hot),1,3.5,04/05/20 10:38
39260,Japanese Rolled Cake (Slice - Chocolate),1,4.0,04/05/20 09:19
39261,Dalgona Coffee (Chocolate - Hot),2,3.0,04/06/20 10:53
39262,Tea (Sakura),1,2.0,04/06/20 08:30
39263,Japanese Cheesecake (Slice - Original),2,3.75,04/24/20 09:16
39264,Japanese Rolled Cake (Slice - Chocolate),2,4.0,04/19/20 09:16
39265,Japanese Cheesecake (Full - Original),1,11.75,04/03/20 07:06
39266,Macaroon (Strawberry),3,2.75,04/20/20 07:20
39266,Dalgona Coffee (Matcha - Hot),1,3.0,04/20/20 07:20
39267,Americano (Hot),2,3.5,04/29/20 11:21
39268,Mango Yakult Refresher,1,4.75,04/21/20 07:00
39269,Donut (Red Bean),4,2.5,04/03/20 09:14
39269,Tea (Sakura),1,2.0,04/03/20 09:14
39270,Dalgona Coffee (Matcha - Hot),1,3.0,04/20/20 03:41
39271,Peach Yakult Refresher,2,4.75,04/12/20 09:04
39272,Bulgogi Bun,2,2.75,04/20/20 10:30
39273,Special Japanese Pork Cutlet Set,1,12.0,04/16/20 08:49
39274,Macaroon (Black Seasame),1,3.0,04/13/20 05:17
39275,Coffee (Iced),1,2.5,04/01/20 10:29
39276,Japanese Rolled Cake (Slice - Chocolate),1,4.0,04/18/20 12:33
39276,Dalgona Coffee (Original - Cold),1,3.0,04/18/20 12:33
39277,Tea (Sakura),2,2.0,04/24/20 05:01
39278,Macaroon (Strawberry),1,2.75,04/26/20 06:33
39278,Dalgona Coffee (Matcha - Cold),2,3.25,04/26/20 06:33
39279,Green Tea Bun,1,2.75,04/26/20 08:01
39280,Tamago Sando (Japanese Egg Sandwich),1,4.5,04/24/20 08:18
39281,Americano (Hot),1,3.5,04/30/20 05:44
39282,Americano (Iced),1,3.5,04/30/20 06:41
39283,Japanese Cheesecake (Full - Original),2,11.75,04/07/20 10:34
39284,Dalgona Coffee (Chocolate - Hot),1,3.0,04/29/20 08:52
39285,Mango Yakult Refresher,1,4.75,04/11/20 09:39
39286,Latte (Rose),1,4.75,04/28/20 09:29
39287,Macaroon (Mango),2,3.0,04/20/20 12:26
39287,Dalgona Coffee (Strawberry - Hot),4,3.0,04/20/20 12:26
39288,Latte (Matcha),2,4.75,04/13/20 10:25
39289,Green Tea Yakult Refresher,1,5.0,04/11/20 09:40
39290,Macaroon (Pistachio),2,3.0,04/23/20 07:42
39290,Coffee (Hot),1,2.25,04/23/20 07:42
39291,Japanese Rolled Cake (Slice - Original),3,4.0,04/10/20 11:04
39292,Latte (Regular),1,4.0,04/05/20 07:33
39293,Green Tea Bun,1,2.75,04/24/20 09:40
39293,Dalgona Coffee (Original - Hot),1,2.75,04/24/20 09:40
