Order ID,Product,Quantity Ordered,Price Each,Order Date
160405,Japanese Rolled Cake (Slice - Matcha),2,4.0,12/20/20 03:28
160406,Japanese Cheesecake (Slice - Original),1,3.75,12/01/20 13:09
160406,Tea (Sakura),2,2.0,12/01/20 13:09
160407,Macaroon (Pistachio),2,3.0,12/11/20 08:28
160408,Macaroon (Pistachio),1,3.0,12/25/20 12:18
160409,Original Croquette,3,3.0,12/08/20 06:24
160410,Japanese Rolled Cake (Roll - Matcha),1,12.0,12/31/20 11:13
160411,Japanese Rolled Cake (Slice - Original),1,4.0,12/10/20 08:08
160412,Macaroon (Strawberry),2,2.75,12/15/20 04:12
160413,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,12/23/20 09:42
160414,Tea (Rose),1,2.0,12/19/20 13:26
160415,Japanese Rolled Cake (Slice - Matcha),1,4.0,12/15/20 11:57
160416,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,12/28/20 04:41
160417,Latte (Matcha),1,4.75,12/05/20 10:12
160418,Fruit Sando (Japanese Fruit Sando),1,4.5,12/20/20 07:58
160419,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,12/31/20 05:01
160420,Donut (Matcha),1,2.5,12/19/20 09:24
160420,Dalgona Coffee (Chocolate - Cold),1,3.25,12/19/20 09:24
160421,Tea (Lavender),1,2.0,12/27/20 06:23
160422,Japanese Rolled Cake (Roll - Original),1,12.0,12/19/20 08:24
160423,Tamago Sando (Japanese Egg Sandwich),1,4.5,12/03/20 07:49
160424,Special Bulgogi Set,1,12.5,12/22/20 11:41
160425,Japanese Cheesecake (Full - Original),2,11.75,12/19/20 11:27
160426,Latte (Rose),1,4.75,12/06/20 07:21
160427,Dalgona Coffee (Chocolate - Hot),1,3.0,12/30/20 10:47
160428,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,12/10/20 06:01
160429,Tea (Rose),1,2.0,12/04/20 06:35
160430,Macaroon (Matcha),1,3.0,12/06/20 07:25
160431,Macaroon (Pistachio),1,3.0,12/18/20 07:25
160432,Fruit Sando (Japanese Fruit Sando),1,4.5,12/25/20 05:19
160433,Japanese Rolled Cake (Slice - Matcha),2,4.0,12/12/20 13:19
160433,Latte (Matcha),1,4.75,12/12/20 13:19
160434,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,12/08/20 11:08
160435,Japanese Rolled Cake (Slice - Chocolate),1,4.0,12/04/20 09:53
160435,Mango Yakult Refresher,1,4.75,12/04/20 09:53
160436,Mango Yakult Refresher,1,4.75,12/05/20 10:01
160437,Latte (Caramel),4,4.25,12/31/20 13:27
160438,Green Tea Banana Bread (Slice),3,1.75,12/12/20 10:02
160439,Green Tea Banana Bread (Loaf),2,4.75,12/27/20 07:55
