Order ID,Product,Quantity Ordered,Price Each,Order Date
73885,Bulgogi Bun,2,2.75,07/19/20 07:57
73886,Tea (Sakura),1,2.0,07/09/20 09:48
73887,Mango Yakult Refresher,1,4.75,07/06/20 10:35
73888,Bulgogi Bun,1,2.75,07/24/20 07:05
73889,Mini Cheese Tart (Orginal),1,3.75,07/04/20 15:38
73890,Japanese Rolled Cake (Slice - Ube),1,4.0,07/30/20 05:57
73891,Japanese Rolled Cake (Roll - Matcha),1,12.0,07/06/20 08:48
73892,Japanese Rolled Cake (Slice - Matcha),2,4.0,07/25/20 05:52
73893,Latte (Rose),4,4.75,07/09/20 13:02
73894,Bulgogi Bun,1,2.75,07/10/20 07:09
73895,Japanese Rolled Cake (Slice - Ube),1,4.0,07/12/20 06:53
73896,Americano (Hot),1,3.5,07/15/20 09:47
73897,Milk Bread (Loaf),1,4.5,07/11/20 13:05
73898,Portguese Tart Egg Tarts (6),1,11.0,07/30/20 08:36
73899,Japanese Rolled Cake (Roll - Original),1,12.0,07/31/20 11:03
73900,Mango Yakult Refresher,1,4.75,07/03/20 13:45
73901,Japanese Rolled Cake (Slice - Matcha),1,4.0,07/15/20 08:18
73902,Fruit Sando (Japanese Fruit Sando),1,4.5,07/30/20 10:17
73903,Dalgona Coffee (Original - Cold),3,3.0,07/13/20 08:12
73904,Latte (Matcha),1,4.75,07/07/20 09:44
73905,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,07/11/20 11:12
73906,Latte (Sakura),1,4.75,07/25/20 09:36
73907,Latte (Caramel),1,4.25,07/08/20 03:48
73908,Coffee (Hot),1,2.25,07/26/20 03:51
73909,Coffee (Iced),2,2.5,07/09/20 08:37
73910,Japanese Rolled Cake (Slice - Chocolate),1,4.0,07/24/20 08:31
73910,Tea (Rose),1,2.0,07/24/20 08:31
73911,Japanese Rolled Cake (Roll - Chocolate),1,12.0,07/17/20 08:58
73912,Latte (Regular),1,4.0,07/15/20 11:25
73913,Macaroon (Mango),3,3.0,07/06/20 11:07
73914,Japanese Rolled Cake (Slice - Chocolate),1,4.0,07/06/20 12:55
73915,Latte (Sakura),1,4.75,07/05/20 08:17
73916,Dalgona Coffee (Original - Hot),1,2.75,07/13/20 08:20
73917,Japanese Cheesecake (Slice - Matcha),1,4.0,07/02/20 06:22
73918,Americano (Hot),1,3.5,07/31/20 07:25
73919,Dalgona Coffee (Strawberry - Hot),1,3.0,07/18/20 12:01
73920,Latte (Sakura),1,4.75,07/05/20 13:54
73921,Macaroon (Mango),1,3.0,07/28/20 13:23
73922,Dalgona Coffee (Strawberry - Cold),1,3.25,07/16/20 11:11
73923,Latte (Rose),1,4.75,07/08/20 10:16
73924,Americano (Hot),1,3.5,07/29/20 05:59
73925,Latte (Rose),1,4.75,07/23/20 07:25
73926,Special Bulgogi Set,1,12.5,07/21/20 10:21
73927,Macaroon (Pistachio),1,3.0,07/16/20 12:18
73927,Latte (Regular),1,4.0,07/16/20 12:18
73928,Dalgona Coffee (Chocolate - Hot),1,3.0,07/06/20 04:51
73929,Japanese Rolled Cake (Roll - Ube),1,12.0,07/18/20 06:34
73930,Japanese Rolled Cake (Roll - Original),1,12.0,07/03/20 12:03
73931,Green Tea Banana Bread (Slice),4,1.75,07/21/20 09:32
73932,Dalgona Coffee (Strawberry - Hot),4,3.0,07/11/20 09:23
73933,Macaroon (Black Seasame),1,3.0,07/26/20 06:42
73934,Red Bean Bun,1,2.75,07/27/20 08:37
73935,Green Tea Banana Bread (Slice),1,1.75,07/10/20 10:32
73935,Latte (Regular),1,4.0,07/10/20 10:32
73936,Macaroon (Lavender),4,3.0,07/27/20 08:10
73937,Original Croquette,1,3.0,07/22/20 08:13
73938,Macaroon (Pistachio),1,3.0,07/26/20 08:02
73939,Latte (Sakura),2,4.75,07/07/20 14:49
73940,Tea (Earl Grey),5,1.75,07/02/20 09:05
73941,Dalgona Coffee (Chocolate - Cold),1,3.25,07/21/20 10:26
73942,Japanese Cheesecake (Full - Original),1,11.75,07/31/20 05:22
