Order ID,Product,Quantity Ordered,Price Each,Order Date
63536,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,06/10/20 12:34
63537,Dalgona Coffee (Original - Hot),1,2.75,06/28/20 10:09
63538,Dalgona Coffee (Original - Hot),2,2.75,06/14/20 11:42
63539,Japanese Rolled Cake (Slice - Original),3,4.0,06/03/20 05:54
63540,Macaroon (Mango),1,3.0,06/10/20 11:16
63541,Dalgona Coffee (Strawberry - Hot),1,3.0,06/17/20 13:50
63542,Macaroon (Black Seasame),1,3.0,06/18/20 08:32
63542,Dalgona Coffee (Chocolate - Cold),1,3.25,06/18/20 08:32
63543,Portguese Tart Egg Tarts (Single),2,2.0,06/29/20 10:27
63544,Dalgona Coffee (Original - Cold),1,3.0,06/17/20 10:31
63545,Japanese Rolled Cake (Roll - Original),1,12.0,06/07/20 11:48
63546,Coffee (Hot),1,2.25,06/15/20 11:44
63547,Green Tea Banana Bread (Loaf),1,4.75,06/24/20 08:10
63548,Donut (Matcha),3,2.5,06/01/20 10:46
63549,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,06/22/20 10:12
63550,Original Croquette,2,3.0,06/04/20 07:43
63551,Japanese Cheesecake (Full - Matcha),2,12.0,06/27/20 10:24
63552,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,06/10/20 08:32
63553,Peach Yakult Refresher,2,4.75,06/02/20 05:23
63554,Macaroon (Lavender),2,3.0,06/29/20 09:33
63555,Japanese Rolled Cake (Roll - Chocolate),1,12.0,06/25/20 11:55
63556,Japanese Rolled Cake (Slice - Matcha),1,4.0,06/02/20 11:59
63557,Japanese Cheesecake (Slice - Matcha),1,4.0,06/06/20 10:19
63558,Macaroon (Lavender),1,3.0,06/25/20 09:59
63559,Japanese Rolled Cake (Roll - Original),1,12.0,06/27/20 08:43
63560,Green Tea Bun,1,2.75,06/26/20 09:20
63561,Japanese Rolled Cake (Roll - Chocolate),1,12.0,06/12/20 11:54
63562,Japanese Cheesecake (Full - Original),1,11.75,06/03/20 07:02
63563,Special Bulgogi Set,1,12.5,06/01/20 12:26
63564,Green Tea Banana Bread (Loaf),3,4.75,06/15/20 11:54
63565,Mini Cheese Tart (Chocolate),3,3.75,06/12/20 07:16
63566,Green Tea Bun,1,2.75,06/03/20 05:18
63566,Latte (Caramel),1,4.25,06/03/20 05:18
63567,Donut (Matcha),2,2.5,06/10/20 07:40
63568,Dalgona Coffee (Original - Cold),2,3.0,06/12/20 11:42
63569,Latte (Rose),1,4.75,06/20/20 08:47
63570,Portguese Tart Egg Tarts (Single),1,2.0,06/23/20 06:50
63571,Dalgona Coffee (Chocolate - Hot),1,3.0,06/20/20 07:23
63572,Dalgona Coffee (Original - Hot),1,2.75,06/02/20 11:39
63573,Dalgona Coffee (Chocolate - Hot),1,3.0,06/21/20 06:06
63574,Mango Yakult Refresher,1,4.75,06/25/20 06:41
63575,Tea (Sakura),5,2.0,06/04/20 08:09
63576,Macaroon (Lavender),2,3.0,06/04/20 05:40
63577,Macaroon (Pistachio),1,3.0,06/23/20 11:03
63578,Tea (Earl Grey),6,1.75,06/24/20 12:10
63579,Dalgona Coffee (Original - Cold),1,3.0,06/30/20 06:43
63580,Red Bean Bun,2,2.75,06/04/20 08:51
63581,Latte (Regular),1,4.0,06/22/20 07:15
63582,Donut (Matcha),2,2.5,06/16/20 04:23
63583,Bulgogi Bun,1,2.75,06/28/20 11:20
63584,Tea (Earl Grey),2,1.75,06/05/20 11:48
63585,Mini Cheese Tart (Matcha),1,3.75,06/26/20 07:50
63585,Latte (Regular),1,4.0,06/26/20 07:50
63586,Mini Cheese Tart (Matcha),1,3.75,06/25/20 10:21
63587,Donut (Matcha),1,2.5,06/03/20 13:22
63588,Donut (Matcha),1,2.5,06/21/20 06:18
63589,Latte (Sakura),1,4.75,06/02/20 09:25
63590,Tea (Rose),2,2.0,06/13/20 07:29
