Order ID,Product,Quantity Ordered,Price Each,Order Date
27570,Dalgona Coffee (Original - Hot),1,2.75,03/03/20 10:05
27571,Japanese Rolled Cake (Slice - Chocolate),1,4.0,03/14/20 08:14
27571,Latte (Sakura),2,4.75,03/14/20 08:14
27572,Bulgogi Bun,2,2.75,03/10/20 13:25
27573,Macaroon (Mango),2,3.0,03/31/20 13:57
27574,Original Croquette,2,3.0,03/29/20 12:06
27575,Macaroon (Green Tea),2,3.0,03/18/20 09:20
27576,Dalgona Coffee (Original - Hot),3,2.75,03/31/20 11:30
27577,Donut (Red Bean),1,2.5,03/13/20 10:26
27578,Coffee (Iced),2,2.5,03/24/20 08:56
27579,Tea (Sakura),1,2.0,03/09/20 11:39
27580,Macaroon (Earl Grey),1,3.0,03/17/20 10:23
27581,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,03/21/20 05:13
27582,Fruit Sando (Japanese Fruit Sando),2,4.5,03/09/20 04:43
27583,Donut (Matcha),2,2.5,03/18/20 10:47
27584,Dalgona Coffee (Original - Cold),2,3.0,03/03/20 07:24
27585,Macaroon (Black Seasame),1,3.0,03/21/20 11:09
27586,Green Tea Bun,2,2.75,03/06/20 04:59
27586,Dalgona Coffee (Chocolate - Hot),3,3.0,03/06/20 04:59
27587,Latte (Regular),1,4.0,03/20/20 12:48
27588,Green Tea Bun,1,2.75,03/05/20 08:06
27589,Dalgona Coffee (Original - Cold),2,3.0,03/21/20 08:32
27590,Mango Yakult Refresher,1,4.75,03/01/20 09:37
27591,Tea (Lavender),2,2.0,03/08/20 10:42
27592,Original Croquette,3,3.0,03/22/20 11:26
27593,Dalgona Coffee (Original - Cold),1,3.0,03/25/20 07:37
27594,Portguese Tart Egg Tarts (Single),1,2.0,03/21/20 07:09
27595,Donut (Matcha),1,2.5,03/30/20 08:19
27596,Green Tea Bun,2,2.75,03/25/20 06:02
27597,Macaroon (Lavender),2,3.0,03/12/20 12:45
27598,Donut (Matcha),4,2.5,03/06/20 10:57
27599,Donut (Red Bean),1,2.5,03/06/20 12:42
27599,Coffee (Iced),2,2.5,03/06/20 12:42
27600,Portguese Tart Egg Tarts (6),1,11.0,03/21/20 09:25
27601,Latte (Matcha),2,4.75,03/23/20 08:37
27602,Tea (Rose),3,2.0,03/06/20 11:34
27603,Macaroon Set (6),1,15.0,03/14/20 13:59
27604,Fruit Sando (Japanese Fruit Sando),1,4.5,03/19/20 11:19
27605,Dalgona Coffee (Strawberry - Cold),1,3.25,03/19/20 08:02
27606,Latte (Caramel),1,4.25,03/13/20 13:32
27607,Latte (Caramel),1,4.25,03/17/20 09:34
27608,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,03/07/20 11:34
27609,Japanese Rolled Cake (Roll - Ube),1,12.0,03/14/20 04:21
