Order ID,Product,Quantity Ordered,Price Each,Order Date
45449,Macaroon (Vietnamese Coffee),1,3.0,05/18/20 10:41
45450,Japanese Rolled Cake (Roll - Ube),1,12.0,05/08/20 10:09
45451,Original Croquette,1,3.0,05/07/20 11:32
45452,Original Croquette,2,3.0,05/09/20 02:48
45453,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/18/20 07:07
45454,Dalgona Coffee (Matcha - Hot),1,3.0,05/12/20 12:48
45455,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/26/20 06:29
45456,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,05/08/20 06:33
45457,Japanese Rolled Cake (Roll - Matcha),1,12.0,05/26/20 10:08
45458,Macaroon (Mango),2,3.0,05/06/20 05:43
45458,Green Tea Yakult Refresher,1,5.0,05/06/20 05:43
45459,Japanese Rolled Cake (Slice - Original),2,4.0,05/20/20 04:05
45460,Japanese Rolled Cake (Roll - Ube),1,12.0,05/07/20 10:39
45461,Japanese Cheesecake (Slice - Original),1,3.75,05/08/20 06:52
45462,Mango Yakult Refresher,1,4.75,05/05/20 10:22
45463,Green Tea Banana Bread (Loaf),1,4.75,05/24/20 08:27
45464,Latte (Rose),1,4.75,05/04/20 10:44
45465,Dalgona Coffee (Matcha - Cold),2,3.25,05/16/20 11:38
45466,Americano (Iced),1,3.5,05/01/20 06:21
45467,Japanese Rolled Cake (Roll - Ube),1,12.0,05/16/20 12:03
45468,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/16/20 09:24
45469,Donut (Matcha),1,2.5,05/30/20 07:15
45470,Special Vegetarian Curry Set,2,15.0,05/27/20 08:09
45471,Macaroon Set (6),1,15.0,05/15/20 08:59
45472,Japanese Rolled Cake (Slice - Original),1,4.0,05/12/20 11:35
45472,Coffee (Hot),1,2.25,05/12/20 11:35
45473,Latte (Caramel),2,4.25,05/19/20 10:29
45474,Latte (Sakura),1,4.75,05/07/20 09:09
45475,Macaroon (Pistachio),2,3.0,05/01/20 08:37
45476,Japanese Rolled Cake (Slice - Chocolate),1,4.0,05/10/20 09:08
45477,Japanese Rolled Cake (Roll - Matcha),1,12.0,05/10/20 11:46
45478,Dalgona Coffee (Original - Cold),2,3.0,05/04/20 12:29
45479,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,05/30/20 10:43
45480,Japanese Rolled Cake (Roll - Ube),1,12.0,05/05/20 08:33
45481,Macaroon (Mango),1,3.0,05/13/20 13:08
45482,Green Tea Banana Bread (Slice),4,1.75,05/22/20 08:51
45482,Latte (Rose),1,4.75,05/22/20 08:51
45483,Japanese Cheesecake (Full - Original),1,11.75,05/26/20 14:05
45484,Latte (Rose),1,4.75,05/31/20 08:35
45485,Macaroon (Green Tea),1,3.0,05/05/20 03:03
45486,Americano (Iced),2,3.5,05/02/20 07:13
45487,Dalgona Coffee (Original - Cold),2,3.0,05/13/20 08:57
45488,Macaroon (Pistachio),1,3.0,05/08/20 06:52
45489,Donut (Red Bean),1,2.5,05/01/20 06:17
45489,Dalgona Coffee (Strawberry - Hot),1,3.0,05/01/20 06:17
45490,Donut (Red Bean),1,2.5,05/05/20 12:30
45491,Macaroon (Strawberry),1,2.75,05/16/20 10:58
45492,Japanese Rolled Cake (Roll - Original),1,12.0,05/07/20 09:15
45493,Coffee (Hot),2,2.25,05/13/20 07:19
45494,Mango Yakult Refresher,1,4.75,05/11/20 06:39
45495,Tea (Lavender),1,2.0,05/20/20 10:16
45496,Japanese Cheesecake (Full - Original),1,11.75,05/16/20 05:33
45497,Japanese Rolled Cake (Roll - Original),1,12.0,05/29/20 08:44
45498,Special Bulgogi Set,1,12.5,05/15/20 09:46
45499,Tea (Lavender),1,2.0,05/21/20 09:15
45500,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/16/20 04:01
45501,Macaroon (Mango),1,3.0,05/27/20 07:47
45501,Dalgona Coffee (Strawberry - Hot),1,3.0,05/27/20 07:47
45502,Tea (Earl Grey),1,1.75,05/03/20 13:51
45503,Dalgona Coffee (Original - Hot),1,2.75,05/13/20 05:55
45504,Tea (Green Tea),2,1.75,05/18/20 07:52
45505,Fruit Sando (Japanese Fruit Sando),1,4.5,05/14/20 05:52
45506,Coffee (Hot),2,2.25,05/09/20 10:34
45507,Japanese Cheesecake (Full - Original),1,11.75,05/08/20 02:16
45508,Macaroon (Green Tea),1,3.0,05/05/20 09:51
45509,Latte (Sakura),1,4.75,05/21/20 03:48
45510,Green Tea Banana Bread (Slice),1,1.75,05/03/20 08:46
45511,Donut (Ube),1,2.5,05/28/20 09:59
45511,Dalgona Coffee (Strawberry - Cold),1,3.25,05/28/20 09:59
45512,Japanese Cheesecake (Full - Matcha),1,12.0,05/10/20 07:55
45513,Dalgona Coffee (Strawberry - Hot),2,3.0,05/05/20 11:42
45514,Portguese Tart Egg Tarts (Single),1,2.0,05/16/20 10:54
45515,Latte (Sakura),2,4.75,05/27/20 05:31
45516,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,05/05/20 08:52
45516,Latte (Regular),2,4.0,05/05/20 08:52
45517,Japanese Cheesecake (Full - Original),1,11.75,05/17/20 09:12
45518,Coffee (Iced),1,2.5,05/17/20 05:45
45519,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/07/20 06:50
45520,Japanese Cheesecake (Full - Matcha),1,12.0,05/26/20 11:27
45521,Red Bean Bun,1,2.75,05/08/20 09:45
45521,Tea (Rose),2,2.0,05/08/20 09:45
45522,Donut (Red Bean),1,2.5,05/18/20 15:06
45523,Dalgona Coffee (Chocolate - Cold),1,3.25,05/23/20 08:34
45524,Milk Bread (Loaf),1,4.5,05/01/20 06:30
45525,Japanese Rolled Cake (Roll - Ube),2,12.0,05/23/20 02:49
45526,Peach Yakult Refresher,2,4.75,05/29/20 03:59
45527,Macaroon (Pistachio),1,3.0,05/20/20 09:43
45528,Special Japanese Pork Cutlet Set,1,12.0,05/31/20 09:03
45529,Latte (Caramel),1,4.25,05/23/20 04:32
45530,Dalgona Coffee (Matcha - Cold),1,3.25,05/21/20 08:57
45531,Americano (Iced),1,3.5,05/18/20 09:49
45532,Japanese Rolled Cake (Slice - Chocolate),1,4.0,05/24/20 09:47
45533,Original Croquette,1,3.0,05/11/20 10:11
45534,Latte (Sakura),1,4.75,05/19/20 10:55
45535,Fruit Sando (Japanese Fruit Sando),1,4.5,05/20/20 05:31
45536,Japanese Cheesecake (Full - Matcha),1,12.0,05/03/20 07:22
45537,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/04/20 04:02
45538,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/16/20 11:22
45539,Japanese Cheesecake (Full - Original),1,11.75,05/30/20 06:03
45540,Japanese Cheesecake (Full - Original),1,11.75,05/26/20 11:07
45541,Dalgona Coffee (Original - Hot),1,2.75,05/10/20 10:25
45542,Latte (Caramel),1,4.25,05/02/20 11:18
45543,Americano (Hot),1,3.5,05/13/20 12:15
45544,Mango Yakult Refresher,1,4.75,05/18/20 07:33
45545,Americano (Iced),1,3.5,05/11/20 14:03
45546,Portguese Tart Egg Tarts (Single),1,2.0,05/12/20 12:32
45547,Japanese Cheesecake (Slice - Matcha),1,4.0,05/04/20 05:12
45548,Japanese Cheesecake (Full - Original),1,11.75,05/27/20 11:38
45549,Coffee (Iced),1,2.5,05/16/20 11:44
45550,Latte (Sakura),1,4.75,05/11/20 09:41
45551,Latte (Rose),1,4.75,05/16/20 08:33
45552,Donut (Red Bean),5,2.5,05/08/20 12:04
45553,Japanese Rolled Cake (Roll - Original),1,12.0,05/27/20 08:58
45554,Green Tea Banana Bread (Slice),1,1.75,05/23/20 02:47
45555,Japanese Rolled Cake (Roll - Chocolate),1,12.0,05/27/20 06:09
45556,Macaroon (Matcha),1,3.0,05/02/20 08:30
45556,Tea (Green Tea),1,1.75,05/02/20 08:30
45557,Mini Cheese Tart (Chocolate),1,3.75,05/13/20 07:56
45558,Macaroon (Mango),1,3.0,05/24/20 12:02
45559,Portguese Tart Egg Tarts (6),1,11.0,05/31/20 10:45
45560,Tea (Sakura),5,2.0,05/01/20 10:30
45561,Tea (Earl Grey),11,1.75,05/10/20 08:02
45562,Red Bean Bun,3,2.75,05/25/20 06:44
45562,Tea (Lavender),4,2.0,05/25/20 06:44
45563,Macaroon (Earl Grey),2,3.0,05/22/20 04:46
45564,Mango Yakult Refresher,2,4.75,05/07/20 04:55
45565,Dalgona Coffee (Original - Cold),1,3.0,05/09/20 13:07
45566,Coffee (Iced),1,2.5,05/03/20 11:24
45567,Mini Cheese Tart (Chocolate),1,3.75,05/28/20 06:57
45568,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/17/20 06:42
45569,Dalgona Coffee (Chocolate - Cold),2,3.25,05/26/20 12:40
45570,Donut (Ube),2,2.5,05/23/20 08:30
45570,Latte (Caramel),2,4.25,05/23/20 08:30
45571,Tea (Lavender),1,2.0,05/04/20 05:16
45572,Macaroon (Pistachio),1,3.0,05/25/20 10:03
45573,Mini Cheese Tart (Orginal),1,3.75,05/20/20 12:46
45574,Milk Bread (Loaf),1,4.5,05/11/20 07:57
45575,Latte (Sakura),1,4.75,05/26/20 08:33
45576,Tea (Rose),1,2.0,05/17/20 13:25
45577,Latte (Sakura),1,4.75,05/04/20 09:16
45578,Mango Yakult Refresher,1,4.75,05/12/20 10:45
45579,Latte (Rose),3,4.75,05/23/20 09:28
45580,Bulgogi Bun,1,2.75,05/08/20 12:24
45581,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,05/09/20 10:21
45582,Dalgona Coffee (Original - Cold),1,3.0,05/31/20 07:49
45583,Japanese Cheesecake (Full - Original),1,11.75,05/18/20 12:08
45584,Japanese Rolled Cake (Roll - Ube),1,12.0,05/19/20 08:39
45585,Macaroon (Strawberry),2,2.75,05/16/20 11:19
45586,Tea (Rose),1,2.0,05/09/20 12:25
45587,Japanese Cheesecake (Slice - Matcha),1,4.0,05/03/20 09:02
45588,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/23/20 02:26
45589,Dalgona Coffee (Original - Hot),2,2.75,05/20/20 09:00
45590,Dalgona Coffee (Strawberry - Hot),1,3.0,05/08/20 09:44
45591,Macaroon (Strawberry),1,2.75,05/23/20 11:36
45592,Macaroon (Black Seasame),1,3.0,05/06/20 10:14
45593,Macaroon (Lavender),1,3.0,05/31/20 04:44
45594,Macaroon (Earl Grey),1,3.0,05/20/20 09:20
45595,Mango Yakult Refresher,1,4.75,05/18/20 04:35
45596,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/04/20 08:19
45597,Dalgona Coffee (Strawberry - Hot),1,3.0,05/20/20 11:38
45598,Macaroon (Vanilla),1,2.75,05/06/20 06:00
45599,Latte (Regular),1,4.0,05/10/20 08:18
45600,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/22/20 03:57
45601,Americano (Iced),1,3.5,05/05/20 08:28
45602,Macaroon (Chocolate),2,2.75,05/27/20 13:27
45603,Original Croquette,3,3.0,05/24/20 10:37
45604,Dalgona Coffee (Original - Hot),1,2.75,05/24/20 04:55
45605,Macaroon (Pistachio),3,3.0,05/13/20 09:48
45606,Original Croquette,1,3.0,05/17/20 11:39
45607,Macaroon (Strawberry),2,2.75,05/10/20 06:56
45608,Donut (Matcha),2,2.5,05/09/20 10:39
45609,Dalgona Coffee (Strawberry - Hot),1,3.0,05/15/20 10:51
45610,Special Vegetarian Curry Set,1,15.0,05/10/20 10:02
45611,Macaroon (Vanilla),1,2.75,05/24/20 08:56
45612,Special Vegetarian Curry Set,1,15.0,05/22/20 14:45
45613,Japanese Cheesecake (Full - Original),1,11.75,05/19/20 10:00
45614,Dalgona Coffee (Chocolate - Cold),1,3.25,05/30/20 12:11
45615,Mini Cheese Tart (Chocolate),2,3.75,05/15/20 10:13
45616,Tea (Lavender),1,2.0,05/31/20 08:16
45617,Japanese Rolled Cake (Roll - Original),2,12.0,05/17/20 10:41
45618,Macaroon (Vanilla),1,2.75,05/08/20 04:59
45618,Tea (Lavender),3,2.0,05/08/20 04:59
45619,Donut (Red Bean),1,2.5,05/26/20 08:46
45620,Red Bean Bun,1,2.75,05/16/20 07:44
45621,Latte (Regular),1,4.0,05/10/20 11:54
45622,Green Tea Bun,3,2.75,05/06/20 11:33
45622,Latte (Rose),1,4.75,05/06/20 11:33
45623,Japanese Rolled Cake (Roll - Original),3,12.0,05/31/20 10:33
45624,Japanese Cheesecake (Full - Matcha),1,12.0,05/01/20 09:39
45625,Macaroon (Pistachio),3,3.0,05/04/20 13:48
45626,Macaroon (Matcha),2,3.0,05/18/20 04:44
45627,Macaroon (Pistachio),1,3.0,05/23/20 07:53
45628,Japanese Rolled Cake (Slice - Chocolate),1,4.0,05/13/20 05:14
45629,Special Vegetarian Curry Set,1,15.0,05/26/20 07:16
45630,Macaroon (Strawberry),2,2.75,05/02/20 11:07
45631,Tea (Rose),1,2.0,05/30/20 09:27
45632,Japanese Rolled Cake (Roll - Original),1,12.0,05/21/20 04:16
45633,Bulgogi Bun,1,2.75,05/19/20 06:58
45634,Bulgogi Bun,3,2.75,05/11/20 07:33
45635,Tamago Sando (Japanese Egg Sandwich),1,4.5,05/10/20 08:15
45636,Special Bulgogi Set,1,12.5,05/25/20 07:02
45637,Japanese Rolled Cake (Roll - Ube),1,12.0,05/30/20 09:40
45638,Tea (Green Tea),2,1.75,05/21/20 11:01
45639,Macaroon (Vanilla),1,2.75,05/20/20 07:43
45639,Latte (Sakura),1,4.75,05/20/20 07:43
45640,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/15/20 06:35
45641,Japanese Rolled Cake (Slice - Matcha),1,4.0,05/18/20 07:29
45642,Japanese Cheesecake (Slice - Original),1,3.75,05/29/20 10:51
45642,Dalgona Coffee (Matcha - Cold),1,3.25,05/29/20 10:51
45643,Americano (Hot),1,3.5,05/07/20 03:33
45644,Dalgona Coffee (Original - Hot),3,2.75,05/30/20 10:28
45645,Tamago Sando (Japanese Egg Sandwich),2,4.5,05/29/20 08:44
45646,Latte (Regular),1,4.0,05/12/20 06:09
45647,Tea (Sakura),6,2.0,05/26/20 06:58
45648,Donut (Red Bean),2,2.5,05/28/20 05:40
45649,Japanese Rolled Cake (Roll - Ube),1,12.0,05/12/20 10:45
45650,Japanese Cheesecake (Full - Original),1,11.75,05/01/20 11:32
45651,Coffee (Hot),2,2.25,05/31/20 04:59
45652,Japanese Rolled Cake (Slice - Original),1,4.0,05/13/20 12:29
45653,Dalgona Coffee (Matcha - Cold),1,3.25,05/09/20 13:03
45654,Portguese Tart Egg Tarts (6),2,11.0,05/10/20 09:48
45655,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/17/20 05:27
45656,Macaroon (Vietnamese Coffee),1,3.0,05/12/20 02:43
45657,Latte (Matcha),1,4.75,05/19/20 07:31
45658,Latte (Sakura),1,4.75,05/30/20 12:26
45659,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,05/18/20 07:11
45660,Milk Bread (Loaf),1,4.5,05/01/20 08:14
45661,Original Croquette,2,3.0,05/20/20 12:35
45662,Bulgogi Bun,2,2.75,05/04/20 09:31
45663,Macaroon (Vanilla),1,2.75,05/02/20 10:04
45664,Macaroon (Chocolate),1,2.75,05/24/20 09:31
45665,Japanese Rolled Cake (Slice - Chocolate),1,4.0,05/31/20 13:23
45665,Coffee (Hot),2,2.25,05/31/20 13:23
45666,Macaroon (Matcha),1,3.0,05/03/20 11:35
45667,Macaroon (Green Tea),1,3.0,05/21/20 07:32
45668,Macaroon (Earl Grey),2,3.0,05/23/20 05:45
