Order ID,Product,Quantity Ordered,Price Each,Order Date
144713,Japanese Rolled Cake (Slice - Matcha),1,4.0,11/28/20 06:13
144713,Dalgona Coffee (Chocolate - Hot),1,3.0,11/28/20 06:13
144714,Dalgona Coffee (Original - Hot),1,2.75,11/05/20 04:11
144715,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,11/08/20 09:27
144716,Green Tea Yakult Refresher,1,5.0,11/23/20 14:15
144717,Macaroon (Pistachio),1,3.0,11/25/20 06:38
144717,Tea (Green Tea),1,1.75,11/25/20 06:38
144718,Mango Yakult Refresher,1,4.75,11/27/20 11:00
144719,Coffee (Hot),3,2.25,11/27/20 07:05
144720,Japanese Cheesecake (Slice - Original),1,3.75,11/07/20 12:25
144721,Macaroon (Pandan Coconut),1,3.0,11/05/20 10:14
144722,Japanese Rolled Cake (Slice - Original),1,4.0,11/12/20 11:51
144723,Coffee (Hot),1,2.25,11/07/20 07:03
144724,Americano (Iced),1,3.5,11/01/20 09:12
144725,Japanese Rolled Cake (Slice - Strawberry Cream),2,4.0,11/17/20 09:02
144726,Green Tea Bun,1,2.75,11/08/20 11:15
144727,Bulgogi Bun,1,2.75,11/15/20 06:20
144728,Japanese Rolled Cake (Roll - Ube),1,12.0,11/02/20 05:32
144729,Mini Cheese Tart (Matcha),1,3.75,11/28/20 09:15
144730,Mini Cheese Tart (Orginal),1,3.75,11/14/20 06:06
144730,Americano (Iced),2,3.5,11/14/20 06:06
144731,Macaroon (Green Tea),2,3.0,11/16/20 06:15
144731,Dalgona Coffee (Matcha - Cold),1,3.25,11/16/20 06:15
144732,Donut (Matcha),1,2.5,11/15/20 11:29
144733,Dalgona Coffee (Original - Cold),1,3.0,11/27/20 10:00
144734,Mini Cheese Tart (Chocolate),2,3.75,11/21/20 12:40
144735,Macaroon (Pistachio),1,3.0,11/14/20 10:42
144736,Portguese Tart Egg Tarts (6),2,11.0,11/24/20 09:00
144737,Japanese Rolled Cake (Slice - Ube),1,4.0,11/01/20 12:03
144738,Macaroon (Pandan Coconut),3,3.0,11/02/20 10:02
144739,Macaroon (Vietnamese Coffee),1,3.0,11/02/20 11:40
