Order ID,Product,Quantity Ordered,Price Each,Order Date
113850,Latte (Regular),1,4.0,09/25/20 13:32
113851,Tea (Lavender),2,2.0,09/12/20 09:44
113852,Japanese Cheesecake (Full - Matcha),1,12.0,09/04/20 04:19
113853,Latte (Rose),1,4.75,09/09/20 12:32
113854,Tea (Lavender),1,2.0,09/27/20 08:27
113855,Macaroon (Pistachio),1,3.0,09/03/20 08:36
113856,Tea (Earl Grey),4,1.75,09/07/20 09:50
113857,Donut (Matcha),2,2.5,09/19/20 10:44
113857,Latte (Sakura),1,4.75,09/19/20 10:44
113858,Japanese Rolled Cake (Slice - Original),2,4.0,09/30/20 10:16
113859,Dalgona Coffee (Original - Cold),1,3.0,09/25/20 05:05
113860,Latte (Regular),1,4.0,09/29/20 11:35
113861,Dalgona Coffee (Strawberry - Hot),1,3.0,09/12/20 11:51
113862,Latte (Sakura),1,4.75,09/07/20 09:55
113863,Green Tea Banana Bread (Loaf),1,4.75,09/27/20 07:20
113864,Latte (Caramel),4,4.25,09/12/20 05:55
113865,Original Croquette,2,3.0,09/25/20 08:24
113866,Japanese Rolled Cake (Slice - Ube),1,4.0,09/28/20 09:18
113867,Latte (Caramel),1,4.25,09/03/20 10:57
113868,Coffee (Iced),2,2.5,09/12/20 10:11
113869,Tea (Lavender),1,2.0,09/23/20 10:01
113870,Macaroon (Lavender),1,3.0,09/26/20 06:55
113871,Donut (Matcha),1,2.5,09/15/20 09:32
113872,Tea (Sakura),1,2.0,09/01/20 06:22
113873,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,09/29/20 09:23
113874,Dalgona Coffee (Matcha - Hot),1,3.0,09/07/20 09:10
113875,Dalgona Coffee (Original - Cold),1,3.0,09/23/20 08:59
113876,Latte (Regular),1,4.0,09/18/20 11:00
113877,Mango Yakult Refresher,1,4.75,09/29/20 07:43
113878,Portguese Tart Egg Tarts (Single),1,2.0,09/28/20 10:26
113878,Latte (Sakura),1,4.75,09/28/20 10:26
113879,Mini Cheese Tart (Matcha),1,3.75,09/07/20 06:05
113879,Mango Yakult Refresher,1,4.75,09/07/20 06:05
113880,Macaroon (Vietnamese Coffee),1,3.0,09/29/20 07:16
